x1_PD009_right,y1_PD009_right,x2_PD009_right,y2_PD009_right,x1_PD012_left,y1_PD012_left,x2_PD012_left,y2_PD012_left,x1_PD004_left,y1_PD004_left,x2_PD004_left,y2_PD004_left,x1_PD013_right,y1_PD013_right,x2_PD013_right,y2_PD013_right,x1_PD002_left,y1_PD002_left,x2_PD002_left,y2_PD002_left,x1_PD008_right,y1_PD008_right,x2_PD008_right,y2_PD008_right,x1_PD011_right,y1_PD011_right,x2_PD011_right,y2_PD011_right,x1_PD003_left,y1_PD003_left,x2_PD003_left,y2_PD003_left,x1_PD001_right,y1_PD001_right,x2_PD001_right,y2_PD001_right,x1_PD006_left,y1_PD006_left,x2_PD006_left,y2_PD006_left,x1_PD010_left,y1_PD010_left,x2_PD010_left,y2_PD010_left,x1_PD007_right,y1_PD007_right,x2_PD007_right,y2_PD007_right,x1_PD005_right,y1_PD005_right,x2_PD005_right,y2_PD005_right
0.0367,-1.1492,0.0367,-2.0766,0.0367,1.0887,0.0367,0.7258,0.0367,0.5847,0.0367,1.1492,0.0367,-0.5444,0.0367,-0.9073,0.0367,0.2218,0.0367,-1.0685,0.0367,1.3374,0.0367,0.8669,0.0367,-1.8145,0.0367,-0.746,0.0367,-0.6855,0.0367,-1.2702,0.0367,0.4839,0.0367,1.0081,0.0367,-1.0282,0.0367,-0.2823,0.0367,-0.1008,0.0367,0.0806,0.0367,0.0806,0.0367,-1.0685,0.0367,-0.7056,0.0367,0.3226
0.04,-0.8669,0.04,0.1815,0.04,1.2903,0.04,0.746,0.04,0.5444,0.04,1.0685,0.04,-0.5645,0.04,-1.0081,0.04,0.6048,0.04,-1.1492,0.04,1.3105,0.04,0.6855,0.04,-1.7137,0.04,-0.9274,0.04,-0.6855,0.04,-0.9677,0.04,0.3427,0.04,0.7863,0.04,-0.9677,0.04,0.0202,0.04,-0.0403,0.04,-0.0605,0.04,0.2016,0.04,-0.8065,0.04,-0.9073,0.04,0.504
0.0433,-0.8669,0.0433,0.2419,0.0433,1.25,0.0433,0.6452,0.0433,0.3629,0.0433,1.1895,0.0433,-0.4234,0.0433,-0.9476,0.0433,-0.4435,0.0433,-1.0887,0.0433,1.3508,0.0433,0.6048,0.0433,-1.875,0.0433,-1.1694,0.0433,-0.6452,0.0433,-1.1895,0.0433,0.6452,0.0433,0.8266,0.0433,-0.8669,0.0433,-0.0403,0.0433,-0.0403,0.0433,-0.121,0.0433,0.2621,0.0433,-0.9879,0.0433,-1.0081,0.0433,0.4839
0.0467,-1.0887,0.0467,0.1815,0.0467,1.25,0.0467,0.7258,0.0467,0.7258,0.0467,0.9073,0.0467,-0.4435,0.0467,-1.0282,0.0467,0.1815,0.0467,-0.9274,0.0467,1.3508,0.0467,0.625,0.0467,-1.7944,0.0467,-1.6935,0.0467,-0.6855,0.0467,-1.1895,0.0467,0.8266,0.0467,0.9073,0.0467,-0.9879,0.0467,-0.2823,0.0467,-0.2621,0.0467,0.0403,0.0467,0.1815,0.0467,-1.0484,0.0467,-1.0081,0.0467,0.4637
0.05,-1.129,0.05,0.3427,0.05,1.25,0.05,0.6653,0.05,0.7863,0.05,1.0685,0.05,-0.4234,0.05,-1.1089,0.05,0.0403,0.05,-1.2298,0.05,1.4718,0.05,0.6653,0.05,-1.6734,0.05,-1.5323,0.05,-0.6452,0.05,-1.2702,0.05,0.6048,0.05,0.7863,0.05,-1.0282,0.05,-0.2016,0.05,0.2218,0.05,0.0806,0.05,0.2016,0.05,-1.1089,0.05,-0.746,0.05,0.3831
0.0533,-1.0282,0.0533,0.4637,0.0533,1.25,0.0533,0.6452,0.0533,0.8871,0.0533,1.1492,0.0533,-0.5847,0.0533,-0.9476,0.0533,0.2419,0.0533,-1.2702,0.0533,1.4113,0.0533,0.6452,0.0533,-1.6935,0.0533,-1.5323,0.0533,-0.7056,0.0533,0.4435,0.0533,0.7661,0.0533,0.7258,0.0533,-0.9677,0.0533,-0.1613,0.0533,-0.2016,0.0533,0.1008,0.0533,0.2016,0.0533,-0.9274,0.0533,-0.8669,0.0533,0.4637
0.0567,-1.1895,0.0567,0.4032,0.0567,1.0887,0.0567,0.8266,0.0567,1.1089,0.0567,1.0081,0.0567,-0.5444,0.0567,-0.9677,0.0567,0.1815,0.0567,-1.1492,0.0567,1.2097,0.0567,0.8065,0.0567,-1.6331,0.0567,-1.4516,0.0567,-0.7258,0.0567,1.2702,0.0567,0.4839,0.0567,0.9274,0.0567,-0.6452,0.0567,0.0806,0.0567,0.121,0.0567,-0.0605,0.0567,0.2016,0.0567,-1.1089,0.0567,-0.8669,0.0567,0.3831
0.06,-1.0685,0.06,0.3226,0.06,1.0887,0.06,0.746,0.06,0.8065,0.06,1.0887,0.06,-0.5645,0.06,-0.9879,0.06,-0.0403,0.06,-1.371,0.06,1.371,0.06,0.8669,0.06,-1.7137,0.06,-0.625,0.06,-0.625,0.06,2.0161,0.06,0.2016,0.06,1.0282,0.06,-0.9073,0.06,-0.2218,0.06,-0.0202,0.06,-0.121,0.06,0.2016,0.06,-0.9879,0.06,-1.0081,0.06,0.5242
0.0633,-1.0081,0.0633,0.4435,0.0633,1.2097,0.0633,0.9274,0.0633,0.8871,0.0633,1.0887,0.0633,-0.5645,0.0633,-0.9879,0.0633,0.2218,0.0633,-1.1694,0.0633,1.4113,0.0633,0.6048,0.0633,-1.8145,0.0633,0.3629,0.0633,-0.6048,0.0633,1.9556,0.0633,0.5847,0.0633,0.8266,0.0633,-0.8065,0.0633,-0.0806,0.0633,1.1895,0.0633,0.0,0.0633,0.121,0.0633,-0.9274,0.0633,-1.0484,0.0633,0.2218
0.0667,-0.9476,0.0667,0.3629,0.0667,1.2097,0.0667,0.6855,0.0667,0.8871,0.0667,0.9677,0.0667,-0.6048,0.0667,-1.0282,0.0667,0.0605,0.0667,-1.0282,0.0667,1.5121,0.0667,0.8266,0.0667,-1.6734,0.0667,1.1089,0.0667,-0.6048,0.0667,1.996,0.0667,0.5645,0.0667,0.9274,0.0667,-1.0282,0.0667,-0.0806,0.0667,0.504,0.0667,-0.0202,0.0667,0.121,0.0667,-1.0887,0.0667,-0.7258,0.0667,0.4637
