x1_PD009_right,y1_PD009_right,x2_PD009_right,y2_PD009_right,x1_PD012_left,y1_PD012_left,x2_PD012_left,y2_PD012_left,x1_PD004_left,y1_PD004_left,x2_PD004_left,y2_PD004_left,x1_PD013_right,y1_PD013_right,x2_PD013_right,y2_PD013_right,x1_PD002_left,y1_PD002_left,x2_PD002_left,y2_PD002_left,x1_PD008_right,y1_PD008_right,x2_PD008_right,y2_PD008_right,x1_PD011_right,y1_PD011_right,x2_PD011_right,y2_PD011_right,x1_PD003_left,y1_PD003_left,x2_PD003_left,y2_PD003_left,x1_PD001_right,y1_PD001_right,x2_PD001_right,y2_PD001_right,x1_PD006_left,y1_PD006_left,x2_PD006_left,y2_PD006_left,x1_PD010_left,y1_PD010_left,x2_PD010_left,y2_PD010_left,x1_PD007_right,y1_PD007_right,x2_PD007_right,y2_PD007_right,x1_PD005_right,y1_PD005_right,x2_PD005_right,y2_PD005_right
0.07,1.3105,0.07,2.2581,0.07,0.1613,0.07,3.2661,0.07,6.6122,0.07,-0.7863,0.07,-0.4234,0.07,-0.3629,0.07,-0.3226,0.07,-1.4113,0.07,0.746,0.07,0.6855,0.07,-0.8871,0.07,-0.0403,0.07,0.3226,0.07,-1.0887,0.07,0.9476,0.07,0.9476,0.07,-0.9274,0.07,-0.2016,0.07,1.3306,0.07,0.5847,0.07,-1.0282,0.07,-1.3098,0.07,0.1815,0.07,5.1008
0.0733,1.129,0.0733,2.2177,0.0733,0.1411,0.0733,3.2258,0.0733,6.6273,0.0733,-0.6653,0.0733,-0.5242,0.0733,-0.4032,0.0733,0.0,0.0733,-1.1089,0.0733,0.8468,0.0733,0.6653,0.0733,-0.8065,0.0733,-0.1411,0.0733,0.4032,0.0733,-0.9274,0.0733,0.8065,0.0733,1.129,0.0733,-0.8669,0.0733,0.0,0.0733,1.4113,0.0733,0.3629,0.0733,-1.0282,0.0733,-1.3087,0.0733,0.1411,0.0733,5.2419
0.0767,1.1694,0.0767,2.0968,0.0767,0.1815,0.0767,3.3065,0.0767,6.6424,0.0767,-0.6855,0.0767,-0.4032,0.0767,-0.4234,0.0767,-0.1008,0.0767,-1.2097,0.0767,1.0282,0.0767,0.6855,0.0767,-0.7863,0.0767,-0.0605,0.0767,0.4637,0.0767,-0.5847,0.0767,0.8065,0.0767,0.9073,0.0767,-0.7258,0.0767,-0.0403,0.0767,1.2298,0.0767,0.3831,0.0767,-1.1089,0.0767,-1.3077,0.0767,0.1613,0.0767,5.2419
0.08,1.4315,0.08,2.1169,0.08,0.0,0.08,3.2661,0.08,6.6575,0.08,-0.9476,0.08,-0.5242,0.08,-0.4637,0.08,-0.0202,0.08,-1.0282,0.08,0.9476,0.08,0.625,0.08,-0.746,0.08,-0.0605,0.08,0.5242,0.08,-0.1411,0.08,0.8669,0.08,1.0081,0.08,-0.9476,0.08,-0.0605,0.08,1.2903,0.08,0.4839,0.08,-1.0282,0.08,-1.3067,0.08,0.1411,0.08,5.2218
0.0833,1.3911,0.0833,2.0766,0.0833,0.0605,0.0833,3.3468,0.0833,6.6726,0.0833,-0.9073,0.0833,-0.4839,0.0833,-0.3226,0.0833,-0.6048,0.0833,-1.0484,0.0833,0.7863,0.0833,0.7056,0.0833,-0.7258,0.0833,-0.1411,0.0833,0.4234,0.0833,0.6653,0.0833,0.7056,0.0833,0.8669,0.0833,-0.7056,0.0833,0.0,0.0833,1.2903,0.0833,0.7056,0.0833,-1.1089,0.0833,-1.3056,0.0833,0.1613,0.0833,5.0806
0.0867,1.0887,0.0867,2.2379,0.0867,0.2016,0.0867,3.3468,0.0867,6.6877,0.0867,-0.5847,0.0867,-0.504,0.0867,-0.3831,0.0867,-0.9173,0.0867,-1.1089,0.0867,0.9274,0.0867,0.746,0.0867,-0.7863,0.0867,-0.121,0.0867,0.3629,0.0867,1.4113,0.0867,0.7863,0.0867,0.7863,0.0867,-0.8871,0.0867,0.0,0.0867,1.1694,0.0867,0.6048,0.0867,-1.1089,0.0867,-1.3046,0.0867,-0.121,0.0867,5.1008
0.09,1.3911,0.09,2.1371,0.09,0.0403,0.09,3.246,0.09,6.7027,0.09,-0.7056,0.09,-0.4637,0.09,-0.5645,0.09,-1.2298,0.09,-1.0685,0.09,0.7863,0.09,0.746,0.09,-0.8266,0.09,-0.121,0.09,0.3024,0.09,1.754,0.09,0.8065,0.09,0.9476,0.09,-0.4435,0.09,-0.0403,0.09,1.25,0.09,0.3831,0.09,-1.1089,0.09,-1.3035,0.09,0.1815,0.09,5.1411
0.0933,1.2298,0.0933,2.3387,0.0933,0.0806,0.0933,3.3065,0.0933,6.7178,0.0933,-0.8871,0.0933,-0.504,0.0933,-0.3831,0.0933,-0.9879,0.0933,-1.0685,0.0933,0.7056,0.0933,0.8871,0.0933,-0.7056,0.0933,-0.121,0.0933,0.3629,0.0933,1.1895,0.0933,0.6855,0.0933,0.9476,0.0933,-0.6452,0.0933,0.0,0.0933,1.4516,0.0933,0.4032,0.0933,-0.9879,0.0933,-1.3025,0.0933,0.1008,0.0933,5.1613
0.0967,1.2097,0.0967,2.3992,0.0967,0.121,0.0967,3.4879,0.0967,6.7329,0.0967,-0.6855,0.0967,-0.5645,0.0967,-0.4234,0.0967,-0.998,0.0967,-0.9879,0.0967,0.8669,0.0967,0.625,0.0967,-0.7863,0.0967,-0.1008,0.0967,0.3629,0.0967,1.25,0.0967,0.7056,0.0967,1.129,0.0967,-0.9073,0.0967,-0.1008,0.0967,1.3105,0.0967,0.5847,0.0967,-0.6048,0.0967,-1.3014,0.0967,0.3427,0.0967,5.121
0.1,1.3306,0.1,2.2782,0.1,0.2016,0.1,3.5282,0.1,6.748,0.1,-0.7056,0.1,-0.4234,0.1,-0.3427,0.1,-1.0081,0.1,-0.9073,0.1,0.6855,0.1,0.7056,0.1,-0.7258,0.1,-0.1815,0.1,0.3427,0.1,1.2903,0.1,0.6855,0.1,0.8669,0.1,-0.8468,0.1,0.1008,0.1,1.2298,0.1,0.4234,0.1,0.0806,0.1,-1.3004,0.1,0.2218,0.1,5.3226
