x1_PD011,y1_PD011,x2_PD011,y2_PD011,x1_PD010,y1_PD010,x2_PD010,y2_PD010,x1_PD003,y1_PD003,x2_PD003,y2_PD003,x1_PD004,y1_PD004,x2_PD004,y2_PD004,x1_PD005,y1_PD005,x2_PD005,y2_PD005,x1_PD002,y1_PD002,x2_PD002,y2_PD002,x1_PD012,y1_PD012,x2_PD012,y2_PD012,x1_PD013,y1_PD013,x2_PD013,y2_PD013,x1_PD007,y1_PD007,x2_PD007,y2_PD007,x1_PD009,y1_PD009,x2_PD009,y2_PD009,x1_PD008,y1_PD008,x2_PD008,y2_PD008,x1_PD001,y1_PD001,x2_PD001,y2_PD001,x1_PD006,y1_PD006,x2_PD006,y2_PD006
0.04,-0.8266,0.04,-0.1008,0.04,1.6532,0.04,0.2419,0.04,0.2621,0.04,-1.0685,0.04,,0.04,-0.1008,0.04,0.121,0.04,5.0605,0.04,-0.5242,0.04,-1.5323,0.04,-0.0605,0.04,,0.04,-0.3831,0.04,-0.3629,0.04,-1.1895,0.04,-1.1595,0.04,1.3508,0.04,,0.04,0.9476,0.04,0.7258,0.04,0.6452,0.04,1.2298,0.04,-0.6048,0.04,0.1008
0.0433,-0.746,0.0433,-0.1411,0.0433,1.5323,0.0433,0.2218,0.0433,0.2823,0.0433,-1.1492,0.0433,,0.0433,-0.5242,0.0433,0.2621,0.0433,5.3226,0.0433,-0.504,0.0433,-1.4113,0.0433,-0.1815,0.0433,,0.0433,-0.504,0.0433,-0.4637,0.0433,-1.3911,0.0433,-1.1565,0.0433,1.1694,0.0433,,0.0433,0.6653,0.0433,0.6452,0.0433,0.4637,0.0433,1.1089,0.0433,-0.5444,0.0433,0.2016
0.0467,-0.8266,0.0467,-0.121,0.0467,1.6129,0.0467,0.0403,0.0467,0.2621,0.0467,-1.0887,0.0467,,0.0467,-0.8669,0.0467,0.3024,0.0467,5.2016,0.0467,-0.4637,0.0467,-1.4919,0.0467,-0.0806,0.0467,,0.0467,-0.5645,0.0467,-0.4637,0.0467,-1.371,0.0467,-1.1535,0.0467,1.2903,0.0467,,0.0467,0.9476,0.0467,0.6048,0.0467,0.7863,0.0467,0.9274,0.0467,-0.7258,0.0467,0.2218
0.05,-0.8065,0.05,0.0,0.05,1.7137,0.05,-0.121,0.05,0.0806,0.05,-0.9274,0.05,,0.05,-1.0887,0.05,0.1411,0.05,5.0,0.05,-0.4839,0.05,-1.5726,0.05,-0.0806,0.05,,0.05,-0.5444,0.05,-0.3427,0.05,-1.4113,0.05,-1.1505,0.05,1.2903,0.05,,0.05,0.746,0.05,0.5242,0.05,0.6048,0.05,0.746,0.05,-0.7056,0.05,0.121
0.0533,-0.746,0.0533,-0.0403,0.0533,1.7742,0.0533,-0.2621,0.0533,0.3226,0.0533,-0.9073,0.0533,,0.0533,-0.8266,0.0533,0.1411,0.0533,5.2016,0.0533,-0.4234,0.0533,-1.754,0.0533,0.0,0.0533,,0.0533,-0.504,0.0533,-0.4435,0.0533,-1.2097,0.0533,-1.1475,0.0533,1.4718,0.0533,,0.0533,0.7863,0.0533,0.5444,0.0533,0.7661,0.0533,1.0685,0.0533,-0.6048,0.0533,-0.0605
0.0567,-0.8871,0.0567,-0.2016,0.0567,1.6935,0.0567,-0.2419,0.0567,0.4234,0.0567,-1.1089,0.0567,,0.0567,-0.9476,0.0567,-0.0202,0.0567,5.2218,0.0567,-0.4839,0.0567,-1.371,0.0567,0.1008,0.0567,,0.0567,-0.5444,0.0567,-0.4234,0.0567,-1.1895,0.0567,-1.1445,0.0567,1.2903,0.0567,,0.0567,0.7258,0.0567,0.625,0.0567,0.7863,0.0567,1.0685,0.0567,-0.6048,0.0567,0.1411
0.06,-0.8065,0.06,-0.0605,0.06,1.5524,0.06,0.121,0.06,0.4032,0.06,-1.0484,0.06,,0.06,-0.6452,0.06,0.2218,0.06,5.3024,0.06,-0.4637,0.06,-1.4315,0.06,0.0,0.06,,0.06,-0.3831,0.06,-0.4234,0.06,-1.0282,0.06,-1.1415,0.06,1.3105,0.06,,0.06,0.7258,0.06,0.7056,0.06,0.8065,0.06,1.1895,0.06,-0.6452,0.06,-0.0202
0.0633,-0.8669,0.0633,-0.1008,0.0633,1.5726,0.0633,0.121,0.0633,-0.0202,0.0633,-0.9073,0.0633,,0.0633,-0.625,0.0633,-0.0202,0.0633,5.1411,0.0633,-0.4839,0.0633,-1.4315,0.0633,-0.0202,0.0633,,0.0633,-0.5444,0.0633,-0.2218,0.0633,-1.1492,0.0633,-1.1385,0.0633,1.4718,0.0633,,0.0633,0.8266,0.0633,0.5645,0.0633,0.8871,0.0633,1.0887,0.0633,-0.625,0.0633,0.2218
0.0667,-0.6653,0.0667,-0.121,0.0667,1.8347,0.0667,-0.0202,0.0667,0.2016,0.0667,-0.8669,0.0667,,0.0667,-0.6452,0.0667,0.2016,0.0667,5.1008,0.0667,-0.4435,0.0667,-1.4516,0.0667,0.0806,0.0667,,0.0667,-0.5645,0.0667,-0.4435,0.0667,-1.129,0.0667,-1.1355,0.0667,1.2097,0.0667,,0.0667,0.7863,0.0667,0.746,0.0667,0.7258,0.0667,0.9879,0.0667,-0.6855,0.0667,0.0
0.07,-0.8871,0.07,-0.0403,0.07,1.5323,0.07,-0.0202,0.07,0.2016,0.07,-0.9677,0.07,,0.07,-0.6855,0.07,0.2016,0.07,5.1008,0.07,-0.5242,0.07,-1.5121,0.07,-0.1008,0.07,,0.07,-0.5645,0.07,-0.3629,0.07,-1.1089,0.07,-1.1325,0.07,1.3105,0.07,,0.07,0.7661,0.07,0.6855,0.07,0.9476,0.07,0.9476,0.07,-0.5444,0.07,0.0806
0.0733,-0.8065,0.0733,-0.1411,0.0733,1.6734,0.0733,-0.1008,0.0733,0.3427,0.0733,-0.9476,0.0733,,0.0733,-0.5847,0.0733,0.0202,0.0733,5.2419,0.0733,-0.5242,0.0733,-1.6331,0.0733,-0.0202,0.0733,,0.0733,-0.504,0.0733,-0.4032,0.0733,-1.1694,0.0733,-1.1295,0.0733,1.129,0.0733,,0.0733,0.7258,0.0733,0.6653,0.0733,0.8065,0.0733,1.129,0.0733,-0.6653,0.0733,0.2621
0.0767,-0.7863,0.0767,-0.0605,0.0767,1.7742,0.0767,0.1411,0.0767,0.2016,0.0767,-1.0081,0.0767,,0.0767,-0.6452,0.0767,0.1815,0.0767,5.2419,0.0767,-0.504,0.0767,-1.4516,0.0767,0.0403,0.0767,,0.0767,-0.5242,0.0767,-0.4234,0.0767,-1.1694,0.0767,-1.1265,0.0767,1.1694,0.0767,,0.0767,0.8266,0.0767,0.6855,0.0767,0.8065,0.0767,0.9073,0.0767,-0.7056,0.0767,0.1008
0.08,-0.746,0.08,-0.0605,0.08,1.6129,0.08,-0.2419,0.08,0.2016,0.08,-0.9879,0.08,,0.08,-0.6653,0.08,0.1411,0.08,5.2218,0.08,-0.6048,0.08,-1.6935,0.08,0.0403,0.08,,0.08,-0.5242,0.08,-0.4637,0.08,-1.0484,0.08,-1.1235,0.08,1.4315,0.08,,0.08,0.625,0.08,0.625,0.08,0.8669,0.08,1.0081,0.08,-0.6855,0.08,0.2218
0.0833,-0.7258,0.0833,-0.1411,0.0833,1.6935,0.0833,-0.2016,0.0833,0.2823,0.0833,-0.9879,0.0833,,0.0833,-0.6855,0.0833,0.1613,0.0833,5.0806,0.0833,-0.7863,0.0833,-1.371,0.0833,-0.0202,0.0833,,0.0833,-0.5444,0.0833,-0.3226,0.0833,-1.129,0.0833,-1.1205,0.0833,1.3911,0.0833,,0.0833,0.7258,0.0833,0.7056,0.0833,0.7056,0.0833,0.8669,0.0833,-0.7661,0.0833,0.2419
0.0867,-0.7863,0.0867,-0.121,0.0867,1.5524,0.0867,-0.1815,0.0867,0.2621,0.0867,-1.0282,0.0867,,0.0867,-0.7056,0.0867,0.1411,0.0867,5.1008,0.0867,-1.129,0.0867,-1.5726,0.0867,-0.0806,0.0867,,0.0867,-0.625,0.0867,-0.3831,0.0867,-1.129,0.0867,-1.1175,0.0867,1.0887,0.0867,,0.0867,0.746,0.0867,0.746,0.0867,0.7863,0.0867,0.7863,0.0867,-0.5444,0.0867,0.1815
0.09,-0.8266,0.09,-0.121,0.09,2.0161,0.09,-0.0806,0.09,0.3629,0.09,-1.1089,0.09,,0.09,-0.6452,0.09,0.1613,0.09,5.1411,0.09,-1.3306,0.09,-1.3508,0.09,0.0403,0.09,,0.09,-0.6452,0.09,-0.5645,0.09,-1.0887,0.09,-1.1144,0.09,1.3911,0.09,,0.09,0.7863,0.09,0.746,0.09,0.8065,0.09,0.9476,0.09,-0.746,0.09,0.2016
0.0933,-0.7056,0.0933,-0.121,0.0933,1.4718,0.0933,-0.1008,0.0933,0.3427,0.0933,-1.0282,0.0933,,0.0933,-0.5645,0.0933,-0.121,0.0933,5.1613,0.0933,-1.5323,0.0933,-1.3911,0.0933,-0.1613,0.0933,,0.0933,-0.5444,0.0933,-0.3831,0.0933,-1.0282,0.0933,-1.1114,0.0933,1.2298,0.0933,,0.0933,0.8468,0.0933,0.8871,0.0933,0.6855,0.0933,0.9476,0.0933,-0.6452,0.0933,0.2419
0.0967,-0.7863,0.0967,-0.1008,0.0967,1.4516,0.0967,0.0605,0.0967,0.2218,0.0967,-1.0081,0.0967,,0.0967,-0.5242,0.0967,0.1815,0.0967,5.121,0.0967,-1.0685,0.0967,-1.5121,0.0967,0.0,0.0967,,0.0967,-0.6048,0.0967,-0.4234,0.0967,-1.0081,0.0967,-1.1084,0.0967,1.2097,0.0967,,0.0967,0.746,0.0967,0.625,0.0967,0.7056,0.0967,1.129,0.0967,-0.7258,0.0967,-0.0202
