x,y
5.3,2.3992
5.3167,2.5202
5.3333,2.6613
5.35,2.8024
5.3667,2.9234
5.3833,3.0645
5.4,3.1855
5.4167,3.3266
5.4333,3.4677
5.45,3.5887
5.4667,3.7298
5.4833,3.8508
5.5,3.9919
5.5167,4.1331
5.5333,4.254
5.55,4.3952
5.5667,4.5161
5.5833,4.6573
5.6,4.7984
5.6167,4.9194
5.6333,5.0605
5.65,5.1815
5.6667,5.3226
5.6833,5.4637
5.7,5.5847
5.7167,5.7258
5.7333,5.8669
5.75,5.9879
5.7667,6.129
5.7833,6.25
5.8,6.3911
5.8167,6.5323
5.8333,6.6532
5.85,6.7944
5.8667,6.9153
5.8833,7.0565
5.9,7.1976
5.9167,7.3185
5.9333,7.4597
5.95,7.6008
5.9667,7.7218
5.9833,7.8629
6.0,7.9839
6.0167,8.125
6.0333,8.2661
6.05,8.3871
6.0667,8.5282
6.0833,8.6694
6.1,8.7903
6.1167,8.9315
6.1333,9.0726
6.15,9.1935
6.1667,9.3347
6.1833,9.4556
6.2,9.5968
6.2167,9.7379
6.2333,9.8589
6.25,10.0
6.2667,9.8589
6.2833,9.7379
6.3,9.5968
6.3167,9.4556
6.3333,9.3347
6.35,9.1935
6.3667,9.0726
6.3833,8.9315
6.4,8.7903
6.4167,8.6694
6.4333,8.5282
6.45,8.3871
6.4667,8.2661
6.4833,8.125
6.5,7.9839
6.5167,7.8629
6.5333,7.7218
6.55,7.6008
6.5667,7.4597
6.5833,7.3185
6.6,7.1976
6.6167,7.0565
6.6333,6.9153
6.65,6.7944
6.6667,6.6532
6.6833,6.5323
6.7,6.3911
6.7167,6.25
6.7333,6.129
6.75,5.9879
6.7667,5.8669
6.7833,5.7258
6.8,5.5847
6.8167,5.4637
6.8333,5.3226
6.85,5.1815
6.8667,5.0605
6.8833,4.9194
6.9,4.7984
6.9167,4.6573
6.9333,4.5161
6.95,4.3952
6.9667,4.254
6.9833,4.1331
7.0,3.9919
7.0167,3.8508
7.0333,3.7298
7.05,3.5887
7.0667,3.4677
7.0833,3.3266
7.1,3.1855
7.1167,3.0645
7.1333,2.9234
7.15,2.8024
7.1667,2.6613
7.1833,2.5202
7.2,2.3992
7.2167,2.2581
7.2333,2.1371
7.25,1.996
7.2667,1.8548
7.2833,1.7339
7.3,1.5927
7.3167,1.4718
7.3333,1.3306
7.35,1.1895
7.3667,1.0685
7.3833,0.9274
7.4,0.8065
7.4167,0.6653
7.4333,0.5242
7.45,0.4032
7.4667,0.2621
7.4833,0.1411
7.5,0.0
7.5167,-0.1411
7.5333,-0.2621
7.55,-0.4032
7.5667,-0.5242
7.5833,-0.6653
7.6,-0.8065
7.6167,-0.9274
7.6333,-1.0685
7.65,-1.1895
7.6667,-1.3306
7.6833,-1.4718
7.7,-1.5927
7.7167,-1.7339
7.7333,-1.8548
7.75,-1.996
7.7667,-2.1371
7.7833,-2.2581
7.8,-2.3992
7.8167,-2.5202
7.8333,-2.6613
7.85,-2.8024
7.8667,-2.9234
7.8833,-3.0645
7.9,-3.1855
7.9167,-3.3266
7.9333,-3.4677
7.95,-3.5887
7.9667,-3.7298
7.9833,-3.8508
8.0,-3.9919
8.0167,-4.1331
8.0333,-4.254
8.05,-4.3952
8.0667,-4.5161
8.0833,-4.6573
8.1,-4.7984
8.1167,-4.9194
8.1333,-5.0605
8.15,-5.1815
8.1667,-5.3226
8.1833,-5.4637
8.2,-5.5847
8.2167,-5.7258
8.2333,-5.8669
8.25,-5.9879
8.2667,-6.129
8.2833,-6.25
8.3,-6.3911
8.3167,-6.5323
8.3333,-6.6532
8.35,-6.7944
8.3667,-6.9153
8.3833,-7.0565
8.4,-7.1976
8.4167,-7.3185
8.4333,-7.4597
8.45,-7.6008
8.4667,-7.7218
8.4833,-7.8629
8.5,-7.9839
8.5167,-8.125
8.5333,-8.2661
8.55,-8.3871
8.5667,-8.5282
8.5833,-8.6694
8.6,-8.7903
8.6167,-8.9315
8.6333,-9.0726
8.65,-9.1935
8.6667,-9.3347
8.6833,-9.4556
8.7,-9.5968
8.7167,-9.7379
8.7333,-9.8589
8.75,-10.0
8.7667,-9.8589
8.7833,-9.7379
8.8,-9.5968
8.8167,-9.4556
8.8333,-9.3347
8.85,-9.1935
8.8667,-9.0726
8.8833,-8.9315
8.9,-8.7903
8.9167,-8.6694
8.9333,-8.5282
8.95,-8.3871
8.9667,-8.2661
8.9833,-8.125
9.0,-7.9839
9.0167,-7.8629
9.0333,-7.7218
9.05,-7.6008
9.0667,-7.4597
9.0833,-7.3185
9.1,-7.1976
9.1167,-7.0565
9.1333,-6.9153
9.15,-6.7944
9.1667,-6.6532
9.1833,-6.5323
9.2,-6.3911
9.2167,-6.25
9.2333,-6.129
9.25,-5.9879
9.2667,-5.8669
9.2833,-5.7258
9.3,-5.5847
9.3167,-5.4637
9.3333,-5.3226
9.35,-5.1815
9.3667,-5.0605
9.3833,-4.9194
9.4,-4.7984
9.4167,-4.6573
9.4333,-4.5161
9.45,-4.3952
9.4667,-4.254
9.4833,-4.1331
9.5,-3.9919
9.5167,-3.8508
9.5333,-3.7298
9.55,-3.5887
9.5667,-3.4677
9.5833,-3.3266
9.6,-3.1855
9.6167,-3.0645
9.6333,-2.9234
9.65,-2.8024
9.6667,-2.6613
9.6833,-2.5202
9.7,-2.3992
9.7167,-2.2581
9.7333,-2.1371
9.75,-1.996
9.7667,-1.8548
9.7833,-1.7339
9.8,-1.5927
9.8167,-1.4718
9.8333,-1.3306
9.85,-1.1895
9.8667,-1.0685
9.8833,-0.9274
9.9,-0.8065
9.9167,-0.6653
9.9333,-0.5242
9.95,-0.4032
9.9667,-0.2621
9.9833,-0.1411
10.0,0.0
10.0167,0.1411
10.0333,0.2621
10.05,0.4032
10.0667,0.5242
10.0833,0.6653
10.1,0.8065
10.1167,0.9274
10.1333,1.0685
10.15,1.1895
10.1667,1.3306
10.1833,1.4718
10.2,1.5927
10.2167,1.7339
10.2333,1.8548
10.25,1.996
10.2667,2.1371
10.2833,2.2581
10.3,2.3992
10.3167,2.5202
10.3333,2.6613
10.35,2.8024
10.3667,2.9234
10.3833,3.0645
10.4,3.1855
10.4167,3.3266
10.4333,3.4677
10.45,3.5887
10.4667,3.7298
10.4833,3.8508
10.5,3.9919
10.5167,4.1331
10.5333,4.254
10.55,4.3952
10.5667,4.5161
10.5833,4.6573
10.6,4.7984
10.6167,4.9194
10.6333,5.0605
10.65,5.1815
10.6667,5.3226
10.6833,5.4637
10.7,5.5847
10.7167,5.7258
10.7333,5.8669
10.75,5.9879
10.7667,6.129
10.7833,6.25
10.8,6.3911
10.8167,6.5323
10.8333,6.6532
10.85,6.7944
10.8667,6.9153
10.8833,7.0565
10.9,7.1976
10.9167,7.3185
10.9333,7.4597
10.95,7.6008
10.9667,7.7218
10.9833,7.8629
11.0,7.9839
11.0167,8.125
11.0333,8.2661
11.05,8.3871
11.0667,8.5282
11.0833,8.6694
11.1,8.7903
11.1167,8.9315
11.1333,9.0726
11.15,9.1935
11.1667,9.3347
11.1833,9.4556
11.2,9.5968
11.2167,9.7379
11.2333,9.8589
11.25,10.0
11.2667,10.0
