x1_PDPW112,y1_PDPW112,x2_PDPW112,y2_PDPW112,x1_PDQE102,y1_PDQE102,x2_PDQE102,y2_PDQE102,x1_PD112,y1_PD112,x2_PD112,y2_PD112,x1_PDPW104,y1_PDPW104,x2_PDPW104,y2_PDPW104,x1_PDPW106,y1_PDPW106,x2_PDPW106,y2_PDPW106,x1_PD106,y1_PD106,x2_PD106,y2_PD106,x1_PDQE103,y1_PDQE103,x2_PDQE103,y2_PDQE103,x1_PDQE107,y1_PDQE107,x2_PDQE107,y2_PDQE107,x1_PDPW107,y1_PDPW107,x2_PDPW107,y2_PDPW107,x1_PD111,y1_PD111,x2_PD111,y2_PD111,x1_PDQE105,y1_PDQE105,x2_PDQE105,y2_PDQE105,x1_PDPW110,y1_PDPW110,x2_PDPW110,y2_PDPW110,x1_PDPW109,y1_PDPW109,x2_PDPW109,y2_PDPW109,x1_PDPY101,y1_PDPY101,x2_PDPY101,y2_PDPY101,x1_PD122,y1_PD122,x2_PD122,y2_PD122,x1_PDQE112,y1_PDQE112,x2_PDQE112,y2_PDQE112,x1_PD120,y1_PD120,x2_PD120,y2_PD120,x1_PDQE104,y1_PDQE104,x2_PDQE104,y2_PDQE104,x1_PD108,y1_PD108,x2_PD108,y2_PD108,x1_PD104,y1_PD104,x2_PD104,y2_PD104,x1_PD109,y1_PD109,x2_PD109,y2_PD109,x1_PD126,y1_PD126,x2_PD126,y2_PD126,x1_PDQE114,y1_PDQE114,x2_PDQE114,y2_PDQE114,x1_PDQE113,y1_PDQE113,x2_PDQE113,y2_PDQE113,x1_PD121,y1_PD121,x2_PD121,y2_PD121,x1_PDPW113,y1_PDPW113,x2_PDPW113,y2_PDPW113,x1_PDQE108,y1_PDQE108,x2_PDQE108,y2_PDQE108,x1_PD107,y1_PD107,x2_PD107,y2_PD107,x1_PDQE115,y1_PDQE115,x2_PDQE115,y2_PDQE115,x1_PDPW111,y1_PDPW111,x2_PDPW111,y2_PDPW111,x1_PD119,y1_PD119,x2_PD119,y2_PD119
0.0367,0.8669,0.0367,0.7661,0.0367,0.4032,0.0367,1.6331,0.0367,,0.0367,0.8468,0.0367,-0.6452,0.0367,0.6855,0.0367,,0.0367,-4.1331,0.0367,1.2097,0.0367,-0.9274,0.0367,1.754,0.0367,0.4032,0.0367,1.7137,0.0367,-4.4556,0.0367,-0.0403,0.0367,0.504,0.0367,0.5242,0.0367,0.9879,0.0367,-0.8871,0.0367,-0.3427,0.0367,0.2218,0.0367,0.9073,0.0367,-0.6653,0.0367,0.9274,0.0367,0.1411,0.0367,,0.0367,0.5847,0.0367,-0.1411,0.0367,0.0605,0.0367,1.4113,0.0367,,0.0367,,0.0367,-1.0685,0.0367,-0.7661,0.0367,0.6855,0.0367,0.8065,0.0367,-1.6532,0.0367,-6.7339,0.0367,-0.1815,0.0367,1.4919,0.0367,0.3226,0.0367,-0.0605,0.0367,-10.1008,0.0367,1.3105,0.0367,0.4839,0.0367,-1.3306,0.0367,0.8266,0.0367,0.1411,0.0367,1.1089,0.0367,-1.4516,0.0367,3.629,0.0367,1.8548,0.0367,0.0403,0.0367,,0.0367,0.3629,0.0367,-0.8266,0.0367,-1.0887,0.0367,,0.0367,-0.2621,0.0367,2.1774
0.04,0.8669,0.04,0.6653,0.04,0.504,0.04,1.9153,0.04,,0.04,0.8065,0.04,-0.3024,0.04,0.7863,0.04,,0.04,-4.1532,0.04,1.129,0.04,-0.8065,0.04,1.5726,0.04,0.504,0.04,2.0766,0.04,-4.4355,0.04,0.0403,0.04,0.6048,0.04,0.8669,0.04,0.4032,0.04,-0.8266,0.04,-0.4839,0.04,0.3226,0.04,0.7863,0.04,-0.8065,0.04,1.0484,0.04,0.3629,0.04,,0.04,0.625,0.04,-0.2621,0.04,0.3629,0.04,1.5121,0.04,,0.04,,0.04,-0.9274,0.04,-0.8871,0.04,0.504,0.04,0.7258,0.04,-1.6734,0.04,-6.5726,0.04,-0.3024,0.04,1.8952,0.04,0.121,0.04,-0.2016,0.04,-9.9798,0.04,1.371,0.04,0.1008,0.04,-1.4113,0.04,0.8669,0.04,0.2218,0.04,0.5645,0.04,-1.6129,0.04,3.6694,0.04,1.9153,0.04,0.0806,0.04,,0.04,0.4839,0.04,-0.9879,0.04,-1.1089,0.04,,0.04,-0.2621,0.04,2.1774
0.0433,0.7056,0.0433,0.625,0.0433,0.121,0.0433,1.8145,0.0433,1.3105,0.0433,0.8065,0.0433,-0.6653,0.0433,0.7661,0.0433,,0.0433,-0.4435,0.0433,1.0887,0.0433,-0.6452,0.0433,2.0968,0.0433,0.3226,0.0433,1.9556,0.0433,-4.5968,0.0433,0.0605,0.0433,0.5847,0.0433,0.6048,0.0433,0.3226,0.0433,-1.1895,0.0433,-0.3226,0.0433,0.2419,0.0433,0.8266,0.0433,-0.7056,0.0433,1.2298,0.0433,0.1411,0.0433,,0.0433,0.2621,0.0433,-0.8669,0.0433,0.5847,0.0433,1.5524,0.0433,,0.0433,,0.0433,-0.8871,0.0433,-0.5847,0.0433,0.5847,0.0433,0.8468,0.0433,-1.8145,0.0433,-6.6532,0.0433,-0.3629,0.0433,1.5121,0.0433,0.1613,0.0433,-0.2419,0.0433,-10.0403,0.0433,1.3105,0.0433,0.2419,0.0433,-1.4919,0.0433,0.6452,0.0433,0.1815,0.0433,0.7258,0.0433,-1.6331,0.0433,3.7903,0.0433,1.9556,0.0433,0.3427,0.0433,,0.0433,0.2823,0.0433,-0.746,0.0433,-1.1492,0.0433,7.6815,0.0433,-0.2016,0.0433,2.1976
0.0467,0.9073,0.0467,0.6855,0.0467,0.4032,0.0467,2.0565,0.0467,1.371,0.0467,0.7863,0.0467,-0.4032,0.0467,0.4637,0.0467,,0.0467,-0.4839,0.0467,1.0887,0.0467,-0.746,0.0467,1.7137,0.0467,0.0,0.0467,1.8548,0.0467,-4.7177,0.0467,0.0403,0.0467,0.625,0.0467,,0.0467,0.5444,0.0467,-0.8065,0.0467,-0.5645,0.0467,0.3629,0.0467,1.2298,0.0467,-0.2218,0.0467,0.9879,0.0467,0.0,0.0467,,0.0467,0.4234,0.0467,-0.3024,0.0467,0.504,0.0467,1.5927,0.0467,,0.0467,,0.0467,-1.0887,0.0467,-0.625,0.0467,0.504,0.0467,0.8669,0.0467,-1.5121,0.0467,-6.6734,0.0467,-0.2621,0.0467,1.6734,0.0467,0.1815,0.0467,-0.121,0.0467,-10.2419,0.0467,1.1492,0.0467,0.4234,0.0467,-1.5323,0.0467,0.9879,0.0467,0.0,0.0467,0.7863,0.0467,-1.3105,0.0467,4.0524,0.0467,1.875,0.0467,0.1613,0.0467,,0.0467,0.4234,0.0467,-0.7258,0.0467,-1.2702,0.0467,,0.0467,-0.1613,0.0467,2.2177
0.05,0.8468,0.05,0.7056,0.05,0.7661,0.05,2.2581,0.05,1.5726,0.05,0.9073,0.05,-0.3831,0.05,0.7258,0.05,,0.05,-0.4234,0.05,1.129,0.05,-0.746,0.05,1.7137,0.05,-1.0484,0.05,1.875,0.05,-4.6976,0.05,0.0202,0.05,0.504,0.05,1.3508,0.05,0.5444,0.05,-0.8065,0.05,-0.5242,0.05,0.3629,0.05,1.3911,0.05,0.5242,0.05,1.0081,0.05,0.0202,0.05,,0.05,0.7056,0.05,-0.504,0.05,0.4234,0.05,1.5726,0.05,,0.05,,0.05,-0.8669,0.05,-0.9677,0.05,0.625,0.05,0.7863,0.05,-1.7339,0.05,-6.5726,0.05,-0.2823,0.05,1.8548,0.05,0.3629,0.05,-0.1613,0.05,-10.0403,0.05,1.2097,0.05,0.0403,0.05,-1.5121,0.05,0.7661,0.05,0.1815,0.05,0.625,0.05,-1.7137,0.05,3.6089,0.05,1.7742,0.05,0.1411,0.05,,0.05,0.4637,0.05,-0.6452,0.05,-1.0685,0.05,,0.05,-0.1815,0.05,2.0363
0.0533,0.7863,0.0533,0.6653,0.0533,0.5444,0.0533,1.9355,0.0533,1.3306,0.0533,0.9879,0.0533,-0.5242,0.0533,0.7258,0.0533,,0.0533,-0.6048,0.0533,1.0887,0.0533,-0.625,0.0533,2.1774,0.0533,-1.4516,0.0533,1.9758,0.0533,-4.4153,0.0533,-0.0806,0.0533,0.6452,0.0533,0.7661,0.0533,0.8266,0.0533,-0.8669,0.0533,-0.3831,0.0533,0.1411,0.0533,1.2298,0.0533,-0.2823,0.0533,1.25,0.0533,-0.1411,0.0533,,0.0533,0.6855,0.0533,,0.0533,0.3024,0.0533,1.4718,0.0533,,0.0533,,0.0533,-1.0282,0.0533,-0.8871,0.0533,0.5847,0.0533,0.746,0.0533,-1.5927,0.0533,-6.8145,0.0533,-0.3226,0.0533,1.7137,0.0533,0.3427,0.0533,-0.1411,0.0533,-10.0605,0.0533,1.1089,0.0533,0.0605,0.0533,-1.2298,0.0533,1.0081,0.0533,0.1613,0.0533,0.6855,0.0533,-1.5524,0.0533,3.8105,0.0533,1.6331,0.0533,0.121,0.0533,,0.0533,0.504,0.0533,-0.9274,0.0533,-1.1492,0.0533,7.7621,0.0533,-0.1613,0.0533,2.1573
0.0567,0.8871,0.0567,0.7863,0.0567,0.5242,0.0567,1.9355,0.0567,1.2298,0.0567,0.9073,0.0567,-0.3831,0.0567,0.7661,0.0567,,0.0567,-0.5444,0.0567,1.2903,0.0567,-0.8266,0.0567,1.5524,0.0567,-2.4395,0.0567,1.6129,0.0567,-4.6774,0.0567,0.0605,0.0567,0.625,0.0567,1.1895,0.0567,0.746,0.0567,-0.9274,0.0567,-0.3629,0.0567,0.4839,0.0567,0.9677,0.0567,-0.3831,0.0567,1.1694,0.0567,0.2016,0.0567,,0.0567,0.7056,0.0567,-0.4234,0.0567,0.2419,0.0567,1.5121,0.0567,,0.0567,,0.0567,-1.129,0.0567,-0.9073,0.0567,0.6048,0.0567,0.8065,0.0567,-1.6734,0.0567,-6.6734,0.0567,-0.3629,0.0567,1.6935,0.0567,0.2016,0.0567,-0.3831,0.0567,-10.0605,0.0567,1.3508,0.0567,0.3427,0.0567,-1.4315,0.0567,1.0081,0.0567,0.121,0.0567,0.8266,0.0567,-1.875,0.0567,3.8105,0.0567,1.7137,0.0567,0.0605,0.0567,,0.0567,0.4234,0.0567,-0.6855,0.0567,-1.2097,0.0567,7.9032,0.0567,-0.2823,0.0567,2.0968
0.06,0.8871,0.06,0.7056,0.06,0.2218,0.06,1.9758,0.06,1.5121,0.06,1.0282,0.06,-0.4234,0.06,0.6048,0.06,,0.06,-0.5242,0.06,1.1694,0.06,-0.8065,0.06,1.5121,0.06,,0.06,1.875,0.06,-4.6774,0.06,0.0605,0.06,0.2823,0.06,1.1694,0.06,0.6048,0.06,-0.8065,0.06,-0.4234,0.06,0.4234,0.06,0.7258,0.06,-0.8468,0.06,1.129,0.06,0.3629,0.06,,0.06,0.5645,0.06,-0.3226,0.06,0.3629,0.06,1.4315,0.06,,0.06,,0.06,-1.1089,0.06,-0.9476,0.06,0.504,0.06,0.8065,0.06,-1.5726,0.06,-6.7137,0.06,-0.4032,0.06,1.754,0.06,0.3024,0.06,-0.2218,0.06,-10.2218,0.06,1.129,0.06,0.2016,0.06,-1.371,0.06,0.8065,0.06,0.1411,0.06,0.5242,0.06,-2.0968,0.06,3.7298,0.06,1.7742,0.06,0.3024,0.06,,0.06,0.3226,0.06,-0.8266,0.06,-1.0685,0.06,7.621,0.06,-0.1613,0.06,2.1371
0.0633,0.8871,0.0633,0.746,0.0633,0.5645,0.0633,2.379,0.0633,,0.0633,0.9677,0.0633,-0.3629,0.0633,0.7258,0.0633,,0.0633,-0.5847,0.0633,1.25,0.0633,-0.8266,0.0633,1.7339,0.0633,,0.0633,1.9153,0.0633,-4.5161,0.0633,-0.0806,0.0633,0.6855,0.0633,0.9073,0.0633,0.5242,0.0633,-0.8669,0.0633,-0.2419,0.0633,0.4032,0.0633,1.8145,0.0633,-0.2621,0.0633,0.5242,0.0633,0.2016,0.0633,,0.0633,0.5444,0.0633,-0.4234,0.0633,0.4637,0.0633,1.5323,0.0633,,0.0633,,0.0633,-1.0887,0.0633,-0.9476,0.0633,0.5847,0.0633,0.8468,0.0633,-1.6935,0.0633,-6.7339,0.0633,-0.4435,0.0633,1.9758,0.0633,0.3226,0.0633,-0.1008,0.0633,-10.0403,0.0633,1.2097,0.0633,0.3226,0.0633,-1.0081,0.0633,0.8871,0.0633,0.3629,0.0633,0.7056,0.0633,-2.1169,0.0633,3.8105,0.0633,1.7944,0.0633,0.3629,0.0633,,0.0633,0.3831,0.0633,-0.8669,0.0633,-1.1089,0.0633,7.6613,0.0633,-0.2823,0.0633,2.1371
0.0667,0.9879,0.0667,0.5645,0.0667,0.1613,0.0667,1.7944,0.0667,,0.0667,0.8871,0.0667,-0.5645,0.0667,,0.0667,,0.0667,-0.5847,0.0667,1.4315,0.0667,-0.8468,0.0667,1.875,0.0667,,0.0667,2.0363,0.0667,-4.1734,0.0667,0.0403,0.0667,0.5242,0.0667,1.2097,0.0667,0.3427,0.0667,-0.8468,0.0667,-0.4234,0.0667,0.3226,0.0667,1.7137,0.0667,-0.121,0.0667,1.1694,0.0667,0.0605,0.0667,,0.0667,0.6653,0.0667,,0.0667,0.3427,0.0667,1.4516,0.0667,,0.0667,,0.0667,-1.0685,0.0667,-0.9274,0.0667,0.4839,0.0667,0.9274,0.0667,-1.6532,0.0667,-6.5524,0.0667,-0.3427,0.0667,1.6935,0.0667,0.3427,0.0667,-0.3629,0.0667,-10.0202,0.0667,1.4516,0.0667,0.2621,0.0667,-1.2298,0.0667,0.8669,0.0667,0.121,0.0667,0.504,0.0667,-2.1573,0.0667,3.871,0.0667,1.8347,0.0667,0.1613,0.0667,,0.0667,0.2218,0.0667,-0.746,0.0667,-1.1492,0.0667,7.8024,0.0667,-0.2823,0.0667,2.0363
