x1_PDPW112,y1_PDPW112,x2_PDPW112,y2_PDPW112,x1_PDQE102,y1_PDQE102,x2_PDQE102,y2_PDQE102,x1_PD112,y1_PD112,x2_PD112,y2_PD112,x1_PDPW104,y1_PDPW104,x2_PDPW104,y2_PDPW104,x1_PDPW106,y1_PDPW106,x2_PDPW106,y2_PDPW106,x1_PD106,y1_PD106,x2_PD106,y2_PD106,x1_PDQE103,y1_PDQE103,x2_PDQE103,y2_PDQE103,x1_PDQE107,y1_PDQE107,x2_PDQE107,y2_PDQE107,x1_PDPW107,y1_PDPW107,x2_PDPW107,y2_PDPW107,x1_PD111,y1_PD111,x2_PD111,y2_PD111,x1_PDQE105,y1_PDQE105,x2_PDQE105,y2_PDQE105,x1_PDPW110,y1_PDPW110,x2_PDPW110,y2_PDPW110,x1_PDPW109,y1_PDPW109,x2_PDPW109,y2_PDPW109,x1_PDPY101,y1_PDPY101,x2_PDPY101,y2_PDPY101,x1_PD122,y1_PD122,x2_PD122,y2_PD122,x1_PDQE112,y1_PDQE112,x2_PDQE112,y2_PDQE112,x1_PD120,y1_PD120,x2_PD120,y2_PD120,x1_PDQE104,y1_PDQE104,x2_PDQE104,y2_PDQE104,x1_PD108,y1_PD108,x2_PD108,y2_PD108,x1_PD104,y1_PD104,x2_PD104,y2_PD104,x1_PD109,y1_PD109,x2_PD109,y2_PD109,x1_PD126,y1_PD126,x2_PD126,y2_PD126,x1_PDQE114,y1_PDQE114,x2_PDQE114,y2_PDQE114,x1_PDQE113,y1_PDQE113,x2_PDQE113,y2_PDQE113,x1_PD121,y1_PD121,x2_PD121,y2_PD121,x1_PDPW113,y1_PDPW113,x2_PDPW113,y2_PDPW113,x1_PDQE108,y1_PDQE108,x2_PDQE108,y2_PDQE108,x1_PD107,y1_PD107,x2_PD107,y2_PD107,x1_PDQE115,y1_PDQE115,x2_PDQE115,y2_PDQE115,x1_PDPW111,y1_PDPW111,x2_PDPW111,y2_PDPW111,x1_PD119,y1_PD119,x2_PD119,y2_PD119
1.61,11.0484,1.61,10.3629,1.61,9.375,1.61,9.4153,1.61,8.0242,1.61,7.7621,1.61,,1.61,10.0806,1.61,8.0242,1.61,7.2984,1.61,8.75,1.61,6.8548,1.61,11.9355,1.61,9.6976,1.61,12.1976,1.61,11.3105,1.61,9.7379,1.61,7.6008,1.61,8.7298,1.61,7.7823,1.61,10.4839,1.61,10.3226,1.61,11.7742,1.61,13.0242,1.61,10.6048,1.61,11.0887,1.61,10.2016,1.61,10.4234,1.61,8.871,1.61,,1.61,11.4919,1.61,12.5605,1.61,8.2661,1.61,,1.61,11.2298,1.61,11.0887,1.61,8.4073,1.61,8.3669,1.61,8.0444,1.61,7.6613,1.61,11.3911,1.61,10.0403,1.61,8.004,1.61,8.4073,1.61,8.6694,1.61,8.4274,1.61,10.2621,1.61,10.3226,1.61,10.6452,1.61,7.5,1.61,10.3226,1.61,10.625,1.61,10.9274,1.61,10.4839,1.61,8.7903,1.61,7.1371,1.61,9.1532,1.61,9.3347,1.61,10.9073,1.61,11.2903,1.61,8.8911,1.61,8.0242
1.6133,11.1895,1.6133,10.3427,1.6133,8.9718,1.6133,8.9315,1.6133,8.1048,1.6133,7.7016,1.6133,11.4315,1.6133,9.8992,1.6133,8.1048,1.6133,7.3185,1.6133,8.7298,1.6133,7.2782,1.6133,11.5726,1.6133,9.5968,1.6133,12.1371,1.6133,11.5323,1.6133,9.7782,1.6133,7.5,1.6133,8.6089,1.6133,8.125,1.6133,10.0202,1.6133,9.9395,1.6133,11.5927,1.6133,12.6411,1.6133,10.8266,1.6133,11.2097,1.6133,10.2218,1.6133,10.7056,1.6133,8.6492,1.6133,,1.6133,11.4718,1.6133,12.4395,1.6133,8.0847,1.6133,8.0444,1.6133,11.129,1.6133,11.1895,1.6133,8.4073,1.6133,8.2258,1.6133,7.8629,1.6133,7.7016,1.6133,11.4113,1.6133,9.5968,1.6133,8.1452,1.6133,8.0444,1.6133,9.2742,1.6133,8.5081,1.6133,10.5645,1.6133,10.121,1.6133,10.6452,1.6133,6.9355,1.6133,10.3629,1.6133,10.121,1.6133,10.6452,1.6133,10.2621,1.6133,7.9234,1.6133,6.8548,1.6133,8.8105,1.6133,9.0121,1.6133,10.7661,1.6133,11.3508,1.6133,8.7097,1.6133,7.7621
1.6167,11.2097,1.6167,10.504,1.6167,8.9718,1.6167,,1.6167,7.8024,1.6167,7.6411,1.6167,11.4919,1.6167,10.0202,1.6167,8.1452,1.6167,7.3387,1.6167,8.9113,1.6167,7.7823,1.6167,11.1492,1.6167,9.7379,1.6167,12.1774,1.6167,11.3105,1.6167,9.879,1.6167,7.5202,1.6167,8.9718,1.6167,7.9839,1.6167,10.3629,1.6167,9.9395,1.6167,11.7339,1.6167,12.8427,1.6167,11.1089,1.6167,12.5605,1.6167,10.4234,1.6167,10.4435,1.6167,8.4677,1.6167,,1.6167,11.754,1.6167,12.3992,1.6167,8.3871,1.6167,7.9637,1.6167,11.0685,1.6167,11.1694,1.6167,8.5484,1.6167,8.3065,1.6167,7.8831,1.6167,7.6815,1.6167,11.2097,1.6167,9.2137,1.6167,8.0242,1.6167,7.2177,1.6167,9.0323,1.6167,8.2258,1.6167,10.4839,1.6167,10.1411,1.6167,10.6653,1.6167,6.7944,1.6167,10.6452,1.6167,9.7581,1.6167,11.1492,1.6167,10.5645,1.6167,7.1371,1.6167,6.875,1.6167,8.2056,1.6167,9.8185,1.6167,11.0081,1.6167,11.25,1.6167,8.75,1.6167,7.9637
1.62,11.25,1.62,10.3226,1.62,9.254,1.62,9.6573,1.62,7.9435,1.62,7.6411,1.62,10.7056,1.62,10.0605,1.62,7.9234,1.62,7.3992,1.62,8.6895,1.62,7.6815,1.62,11.371,1.62,9.9798,1.62,12.1371,1.62,11.6129,1.62,9.8992,1.62,7.7823,1.62,8.7702,1.62,7.3992,1.62,10.4637,1.62,9.8992,1.62,11.5726,1.62,12.9234,1.62,11.129,1.62,11.1492,1.62,10.2823,1.62,10.5645,1.62,8.6089,1.62,,1.62,11.4315,1.62,12.2581,1.62,8.0242,1.62,8.0645,1.62,11.1492,1.62,10.9476,1.62,8.4274,1.62,8.0645,1.62,7.8226,1.62,7.6815,1.62,11.3911,1.62,8.5685,1.62,7.8427,1.62,6.5927,1.62,8.9315,1.62,8.4476,1.62,10.5444,1.62,9.9597,1.62,10.504,1.62,7.3992,1.62,10.625,1.62,9.7984,1.62,10.7863,1.62,10.3831,1.62,6.9355,1.62,7.0363,1.62,8.0847,1.62,9.3548,1.62,10.9879,1.62,11.25,1.62,8.6694,1.62,8.0242
1.6233,11.371,1.6233,10.3831,1.6233,10.3629,1.6233,9.1734,1.6233,7.9637,1.6233,7.7016,1.6233,10.9677,1.6233,10.0403,1.6233,8.0444,1.6233,7.379,1.6233,8.8911,1.6233,7.8629,1.6233,11.2903,1.6233,9.6976,1.6233,12.2379,1.6233,11.4516,1.6233,9.9395,1.6233,7.4194,1.6233,8.6492,1.6233,7.7419,1.6233,10.4435,1.6233,9.7984,1.6233,11.6331,1.6233,12.9032,1.6233,10.9274,1.6233,11.0484,1.6233,10.0403,1.6233,10.2016,1.6233,8.75,1.6233,,1.6233,11.4113,1.6233,12.2581,1.6233,7.9234,1.6233,8.0242,1.6233,11.1895,1.6233,10.5847,1.6233,8.1653,1.6233,8.1452,1.6233,7.8226,1.6233,7.5605,1.6233,11.3105,1.6233,8.0444,1.6233,7.7823,1.6233,6.3508,1.6233,8.4879,1.6233,8.2258,1.6233,10.4234,1.6233,,1.6233,10.4839,1.6233,7.5806,1.6233,10.2218,1.6233,9.6371,1.6233,10.8871,1.6233,10.3226,1.6233,7.4798,1.6233,7.1371,1.6233,8.3468,1.6233,9.3145,1.6233,11.129,1.6233,11.3105,1.6233,8.7903,1.6233,8.1653
1.6267,11.3508,1.6267,10.3226,1.6267,9.5968,1.6267,8.9113,1.6267,7.8427,1.6267,7.5202,1.6267,11.6935,1.6267,9.9798,1.6267,7.9839,1.6267,7.3185,1.6267,8.5887,1.6267,7.7016,1.6267,11.1895,1.6267,9.2339,1.6267,12.2581,1.6267,11.2702,1.6267,9.5565,1.6267,7.5806,1.6267,8.3468,1.6267,8.004,1.6267,10.4435,1.6267,9.9395,1.6267,11.6935,1.6267,12.7419,1.6267,11.2298,1.6267,11.2702,1.6267,10.504,1.6267,10.2419,1.6267,8.5484,1.6267,8.8105,1.6267,11.4718,1.6267,12.3589,1.6267,7.8629,1.6267,,1.6267,10.8468,1.6267,10.1613,1.6267,8.125,1.6267,8.0242,1.6267,7.8226,1.6267,7.6411,1.6267,11.4516,1.6267,6.4315,1.6267,7.8226,1.6267,6.5524,1.6267,8.6694,1.6267,8.2661,1.6267,10.2419,1.6267,8.8508,1.6267,9.9798,1.6267,7.379,1.6267,10.2621,1.6267,9.9597,1.6267,10.6855,1.6267,10.6048,1.6267,7.7218,1.6267,7.1169,1.6267,8.4476,1.6267,8.9113,1.6267,10.9879,1.6267,11.4113,1.6267,8.75,1.6267,8.0847
1.63,11.1895,1.63,10.121,1.63,9.1129,1.63,8.5282,1.63,7.7823,1.63,7.5605,1.63,11.8347,1.63,10.121,1.63,7.9234,1.63,7.3185,1.63,8.5484,1.63,7.7016,1.63,11.0685,1.63,9.1129,1.63,12.3589,1.63,11.2298,1.63,9.8589,1.63,7.5806,1.63,8.0444,1.63,7.2782,1.63,10.4435,1.63,9.9597,1.63,11.5121,1.63,12.3992,1.63,10.8871,1.63,12.8427,1.63,10.3024,1.63,10.3629,1.63,8.6895,1.63,8.246,1.63,11.2097,1.63,12.4798,1.63,7.8427,1.63,,1.63,10.3629,1.63,10.0202,1.63,8.3065,1.63,7.8831,1.63,7.9637,1.63,7.4597,1.63,11.4516,1.63,6.6331,1.63,8.0242,1.63,7.0363,1.63,8.5484,1.63,8.246,1.63,10.3831,1.63,8.2258,1.63,9.375,1.63,7.6008,1.63,10.5847,1.63,9.9597,1.63,10.9879,1.63,10.2823,1.63,8.1048,1.63,6.8347,1.63,8.7097,1.63,9.1129,1.63,11.1694,1.63,11.2903,1.63,8.629,1.63,8.2258
1.6333,11.4315,1.6333,10.3024,1.6333,9.5766,1.6333,9.2137,1.6333,7.9839,1.6333,7.5,1.6333,11.0484,1.6333,9.9798,1.6333,7.9032,1.6333,7.2177,1.6333,8.5484,1.6333,7.7621,1.6333,10.9073,1.6333,9.496,1.6333,12.1371,1.6333,11.3911,1.6333,10.0605,1.6333,7.3387,1.6333,,1.6333,7.1976,1.6333,10.0605,1.6333,9.7782,1.6333,11.6532,1.6333,12.8629,1.6333,11.1089,1.6333,11.129,1.6333,10.3024,1.6333,10.1008,1.6333,,1.6333,8.2661,1.6333,10.9879,1.6333,12.2984,1.6333,8.1452,1.6333,,1.6333,9.8992,1.6333,9.6774,1.6333,7.9637,1.6333,8.0847,1.6333,7.9032,1.6333,7.5,1.6333,11.5524,1.6333,6.8347,1.6333,7.9234,1.6333,6.9556,1.6333,8.7702,1.6333,8.2056,1.6333,10.4839,1.6333,7.5806,1.6333,8.4879,1.6333,7.8226,1.6333,10.2419,1.6333,9.4355,1.6333,10.9677,1.6333,10.3024,1.6333,7.6411,1.6333,6.9556,1.6333,8.7702,1.6333,8.629,1.6333,11.0887,1.6333,11.3508,1.6333,8.6895,1.6333,8.0645
1.6367,11.3508,1.6367,10.2621,1.6367,9.1734,1.6367,8.6492,1.6367,7.8831,1.6367,7.5202,1.6367,11.1694,1.6367,9.9798,1.6367,7.8226,1.6367,7.1573,1.6367,8.5081,1.6367,7.7621,1.6367,10.8669,1.6367,9.4355,1.6367,12.1169,1.6367,11.4516,1.6367,9.8387,1.6367,7.5403,1.6367,9.2137,1.6367,7.5,1.6367,10.2419,1.6367,9.8589,1.6367,11.6734,1.6367,12.5605,1.6367,10.8871,1.6367,10.3427,1.6367,10.4435,1.6367,9.7177,1.6367,9.0726,1.6367,8.4879,1.6367,11.371,1.6367,12.3589,1.6367,8.0645,1.6367,,1.6367,9.879,1.6367,9.5968,1.6367,8.1048,1.6367,7.8831,1.6367,7.9234,1.6367,7.3992,1.6367,11.1895,1.6367,6.875,1.6367,7.7823,1.6367,7.0968,1.6367,8.4476,1.6367,8.2863,1.6367,10.4234,1.6367,7.3992,1.6367,8.1855,1.6367,7.6008,1.6367,10.1815,1.6367,9.4153,1.6367,10.8871,1.6367,10.746,1.6367,7.4798,1.6367,6.875,1.6367,8.629,1.6367,8.1855,1.6367,11.0081,1.6367,11.2903,1.6367,8.7298,1.6367,8.1855
1.64,10.8669,1.64,10.1411,1.64,8.9919,1.64,9.3548,1.64,7.8629,1.64,7.5806,1.64,,1.64,9.9395,1.64,7.8427,1.64,7.1371,1.64,8.6895,1.64,7.5806,1.64,11.0685,1.64,9.4153,1.64,12.1976,1.64,11.3306,1.64,9.7984,1.64,7.3589,1.64,8.5484,1.64,,1.64,10.2016,1.64,9.7581,1.64,11.6935,1.64,12.8831,1.64,10.6855,1.64,9.5968,1.64,10.4435,1.64,9.2339,1.64,,1.64,8.2056,1.64,11.1694,1.64,12.1371,1.64,7.9637,1.64,,1.64,9.8185,1.64,9.5565,1.64,8.1452,1.64,8.0847,1.64,7.7218,1.64,7.7218,1.64,11.3306,1.64,6.754,1.64,7.8226,1.64,6.9556,1.64,8.6895,1.64,8.3669,1.64,10.2823,1.64,7.8024,1.64,8.0242,1.64,7.4395,1.64,10.5645,1.64,9.5363,1.64,11.0282,1.64,10.2419,1.64,7.6008,1.64,6.8952,1.64,8.4073,1.64,7.6613,1.64,11.1492,1.64,11.129,1.64,8.6089,1.64,8.1855
1.6433,10.4032,1.6433,10.0806,1.6433,9.2742,1.6433,9.1532,1.6433,7.6613,1.6433,7.4597,1.6433,,1.6433,9.9597,1.6433,7.8427,1.6433,7.1371,1.6433,8.7298,1.6433,7.7419,1.6433,11.129,1.6433,9.0121,1.6433,12.2984,1.6433,11.2903,1.6433,10.121,1.6433,7.4194,1.6433,8.125,1.6433,,1.6433,10.3226,1.6433,9.7379,1.6433,11.5524,1.6433,13.0645,1.6433,10.746,1.6433,8.9315,1.6433,10.3629,1.6433,8.629,1.6433,,1.6433,8.3669,1.6433,11.4315,1.6433,12.2177,1.6433,8.1048,1.6433,,1.6433,9.8589,1.6433,9.6573,1.6433,8.2056,1.6433,7.9435,1.6433,7.7218,1.6433,7.5605,1.6433,11.2702,1.6433,6.9758,1.6433,7.7016,1.6433,6.6129,1.6433,8.4677,1.6433,8.1653,1.6433,10.4839,1.6433,8.7702,1.6433,8.2863,1.6433,7.0766,1.6433,10.1613,1.6433,9.7177,1.6433,10.6452,1.6433,10.5645,1.6433,7.4395,1.6433,6.875,1.6433,8.5484,1.6433,8.1048,1.6433,11.0887,1.6433,11.1492,1.6433,8.6694,1.6433,8.125
1.6467,9.5968,1.6467,10.1815,1.6467,9.1532,1.6467,9.3347,1.6467,7.7823,1.6467,7.5202,1.6467,9.5565,1.6467,10.1008,1.6467,7.8629,1.6467,7.1573,1.6467,8.7298,1.6467,7.5605,1.6467,11.5726,1.6467,9.3145,1.6467,11.8347,1.6467,11.0685,1.6467,9.8992,1.6467,7.4395,1.6467,,1.6467,7.1976,1.6467,10.3831,1.6467,9.7782,1.6467,11.6129,1.6467,12.7016,1.6467,11.2097,1.6467,9.6371,1.6467,10.6048,1.6467,8.1653,1.6467,8.4274,1.6467,8.0444,1.6467,11.1895,1.6467,12.6411,1.6467,8.0645,1.6467,,1.6467,9.9395,1.6467,9.6976,1.6467,8.2056,1.6467,8.0847,1.6467,7.7419,1.6467,7.2581,1.6467,11.25,1.6467,7.1774,1.6467,7.9032,1.6467,6.7944,1.6467,8.4677,1.6467,8.4476,1.6467,10.2016,1.6467,9.1129,1.6467,7.9032,1.6467,7.2984,1.6467,10.5242,1.6467,9.3548,1.6467,10.7661,1.6467,10.6048,1.6467,7.8226,1.6467,6.8347,1.6467,8.8105,1.6467,7.6815,1.6467,11.1694,1.6467,11.2298,1.6467,8.5887,1.6467,8.1452
1.65,8.6492,1.65,10.3024,1.65,9.3347,1.65,8.8105,1.65,7.8024,1.65,7.4798,1.65,8.9315,1.65,10.0806,1.65,7.8024,1.65,7.0766,1.65,8.5685,1.65,7.5806,1.65,10.8065,1.65,9.5363,1.65,12.1169,1.65,11.0081,1.65,9.879,1.65,7.4798,1.65,8.9516,1.65,7.7621,1.65,10.3427,1.65,10.1815,1.65,11.6734,1.65,13.0444,1.65,10.7056,1.65,8.3266,1.65,10.3629,1.65,7.7823,1.65,9.1331,1.65,8.3669,1.65,11.2097,1.65,12.1976,1.65,8.1452,1.65,7.7218,1.65,9.9798,1.65,9.7379,1.65,8.0847,1.65,7.9234,1.65,7.6411,1.65,7.5,1.65,11.4113,1.65,7.379,1.65,7.5202,1.65,6.5524,1.65,8.5685,1.65,8.3468,1.65,10.2419,1.65,8.6089,1.65,8.1855,1.65,7.2782,1.65,10.1815,1.65,9.1532,1.65,10.8065,1.65,10.4637,1.65,7.4395,1.65,6.9556,1.65,8.4073,1.65,7.8226,1.65,11.0887,1.65,11.371,1.65,8.6895,1.65,8.0444
1.6533,7.9839,1.6533,10.1815,1.6533,9.4556,1.6533,8.8306,1.6533,7.7621,1.6533,7.379,1.6533,8.1653,1.6533,10.0202,1.6533,7.7823,1.6533,7.0968,1.6533,8.7097,1.6533,7.6411,1.6533,11.1089,1.6533,9.7782,1.6533,11.7339,1.6533,10.2419,1.6533,9.6976,1.6533,7.3589,1.6533,8.6089,1.6533,6.875,1.6533,10.4637,1.6533,9.7379,1.6533,11.8548,1.6533,12.9234,1.6533,10.8266,1.6533,8.7903,1.6533,10.1815,1.6533,7.5403,1.6533,,1.6533,7.8427,1.6533,11.1694,1.6533,12.0565,1.6533,7.9032,1.6533,7.7016,1.6533,10.3024,1.6533,9.6976,1.6533,7.9435,1.6533,7.8629,1.6533,7.621,1.6533,7.3992,1.6533,11.3508,1.6533,6.8347,1.6533,7.7218,1.6533,6.6935,1.6533,8.3065,1.6533,8.1048,1.6533,10.2016,1.6533,8.4476,1.6533,8.2258,1.6533,7.2782,1.6533,10.1815,1.6533,9.254,1.6533,10.9274,1.6533,10.6653,1.6533,7.4798,1.6533,6.6935,1.6533,8.3266,1.6533,7.5403,1.6533,11.0484,1.6533,11.2903,1.6533,8.6895,1.6533,8.1653
1.6567,7.7823,1.6567,10.2419,1.6567,9.3548,1.6567,8.8911,1.6567,7.7823,1.6567,7.5403,1.6567,7.4597,1.6567,9.9395,1.6567,7.8024,1.6567,6.9153,1.6567,8.5887,1.6567,7.3185,1.6567,11.2702,1.6567,9.3347,1.6567,11.7944,1.6567,9.1331,1.6567,9.8387,1.6567,7.2782,1.6567,7.8427,1.6567,6.8548,1.6567,10.4234,1.6567,9.9798,1.6567,11.6532,1.6567,12.7016,1.6567,11.129,1.6567,8.8508,1.6567,10.4839,1.6567,7.4597,1.6567,8.7702,1.6567,8.1855,1.6567,11.5726,1.6567,12.3589,1.6567,8.004,1.6567,7.7016,1.6567,10.2419,1.6567,9.7984,1.6567,7.9839,1.6567,8.0645,1.6567,7.5605,1.6567,7.379,1.6567,11.129,1.6567,6.8347,1.6567,7.5605,1.6567,6.6331,1.6567,8.4073,1.6567,8.0444,1.6567,10.1008,1.6567,8.2863,1.6567,8.4677,1.6567,7.5605,1.6567,9.8387,1.6567,9.2944,1.6567,10.746,1.6567,10.6048,1.6567,7.4597,1.6567,6.6734,1.6567,8.3266,1.6567,7.8226,1.6567,10.8669,1.6567,11.1895,1.6567,8.629,1.6567,8.1048
1.66,7.9839,1.66,10.121,1.66,9.3952,1.66,8.6492,1.66,7.7218,1.66,7.2984,1.66,7.8831,1.66,9.9597,1.66,7.7016,1.66,6.875,1.66,8.5484,1.66,7.5202,1.66,10.8669,1.66,9.2742,1.66,11.9556,1.66,8.5282,1.66,9.7581,1.66,7.3387,1.66,,1.66,7.3387,1.66,10.0605,1.66,9.9597,1.66,11.6935,1.66,12.4798,1.66,10.9476,1.66,9.0121,1.66,10.3024,1.66,7.6008,1.66,9.0121,1.66,8.246,1.66,11.0081,1.66,11.9153,1.66,7.7823,1.66,7.6815,1.66,10.1008,1.66,9.5363,1.66,8.0242,1.66,7.8831,1.66,7.621,1.66,7.5,1.66,10.9677,1.66,6.875,1.66,7.6613,1.66,6.4718,1.66,8.5887,1.66,7.9234,1.66,10.2419,1.66,8.4274,1.66,8.4274,1.66,7.2782,1.66,10.3226,1.66,8.9315,1.66,11.0081,1.66,10.504,1.66,7.4798,1.66,6.5726,1.66,8.4677,1.66,7.379,1.66,11.1694,1.66,11.2702,1.66,8.5685,1.66,8.0444
1.6633,8.3468,1.6633,10.1815,1.6633,9.0323,1.6633,8.6895,1.6633,7.8427,1.6633,7.2782,1.6633,7.8024,1.6633,10.1411,1.6633,7.6411,1.6633,6.8548,1.6633,8.4879,1.6633,7.5806,1.6633,10.6855,1.6633,,1.6633,11.996,1.6633,8.125,1.6633,9.7581,1.6633,7.2984,1.6633,8.8306,1.6633,7.1774,1.6633,9.4758,1.6633,9.8589,1.6633,11.8548,1.6633,12.7621,1.6633,10.9879,1.6633,10.0403,1.6633,10.3226,1.6633,7.6815,1.6633,8.8105,1.6633,8.246,1.6633,11.3508,1.6633,12.1371,1.6633,7.9234,1.6633,,1.6633,9.9395,1.6633,9.5363,1.6633,8.0645,1.6633,7.7016,1.6633,7.4798,1.6633,7.2177,1.6633,10.7863,1.6633,6.7339,1.6633,7.7419,1.6633,6.5726,1.6633,8.2258,1.6633,8.0847,1.6633,9.9798,1.6633,8.2258,1.6633,8.1855,1.6633,7.3589,1.6633,10.0806,1.6633,8.0645,1.6633,10.8065,1.6633,10.0806,1.6633,7.379,1.6633,7.0161,1.6633,8.3266,1.6633,7.8226,1.6633,11.1694,1.6633,11.1895,1.6633,8.5887,1.6633,8.004
1.6667,8.6089,1.6667,10.2621,1.6667,9.0524,1.6667,8.8911,1.6667,7.8226,1.6667,7.4194,1.6667,7.9234,1.6667,10.0,1.6667,7.7823,1.6667,6.7339,1.6667,8.3871,1.6667,7.4395,1.6667,11.2097,1.6667,9.2339,1.6667,11.9153,1.6667,7.9637,1.6667,9.7177,1.6667,7.2379,1.6667,8.6492,1.6667,7.3387,1.6667,8.9113,1.6667,9.9395,1.6667,11.4919,1.6667,12.5605,1.6667,10.6855,1.6667,8.7702,1.6667,10.2823,1.6667,7.8427,1.6667,9.8589,1.6667,7.8427,1.6667,11.2903,1.6667,12.0161,1.6667,7.8629,1.6667,,1.6667,9.9597,1.6667,9.6169,1.6667,8.004,1.6667,7.8024,1.6667,7.5,1.6667,7.1976,1.6667,10.2016,1.6667,6.5323,1.6667,7.6411,1.6667,6.5121,1.6667,8.4073,1.6667,8.0645,1.6667,10.1008,1.6667,8.3871,1.6667,8.0242,1.6667,7.4798,1.6667,10.2419,1.6667,7.8024,1.6667,10.8266,1.6667,10.4234,1.6667,7.1976,1.6667,6.6734,1.6667,8.1855,1.6667,8.0242,1.6667,10.8871,1.6667,11.1895,1.6667,8.6089,1.6667,7.9839
1.67,8.5484,1.67,9.8589,1.67,8.871,1.67,8.75,1.67,7.6815,1.67,7.3387,1.67,8.3468,1.67,9.8387,1.67,7.7016,1.67,6.7944,1.67,8.4879,1.67,7.621,1.67,10.9677,1.67,,1.67,12.1371,1.67,8.0645,1.67,9.8992,1.67,7.1573,1.67,8.246,1.67,7.8427,1.67,8.2056,1.67,9.7782,1.67,11.1492,1.67,12.6613,1.67,10.9677,1.67,8.8105,1.67,10.4637,1.67,7.6411,1.67,8.3468,1.67,7.6815,1.67,10.9274,1.67,11.5323,1.67,8.0242,1.67,,1.67,10.0403,1.67,9.5766,1.67,7.9234,1.67,7.9234,1.67,7.3992,1.67,7.1573,1.67,9.2944,1.67,6.5726,1.67,7.621,1.67,6.4919,1.67,8.4677,1.67,7.9234,1.67,10.0605,1.67,8.1653,1.67,8.004,1.67,7.5,1.67,9.879,1.67,7.0968,1.67,10.8468,1.67,10.2823,1.67,7.2379,1.67,6.5726,1.67,8.3065,1.67,7.4194,1.67,10.9879,1.67,11.1089,1.67,8.4879,1.67,7.9435
1.6733,8.5484,1.6733,10.1008,1.6733,9.1734,1.6733,8.8306,1.6733,7.7016,1.6733,7.2177,1.6733,8.125,1.6733,9.6976,1.6733,7.5403,1.6733,6.6935,1.6733,8.3266,1.6733,7.1976,1.6733,11.0081,1.6733,8.1048,1.6733,11.8548,1.6733,8.2056,1.6733,9.7177,1.6733,7.2581,1.6733,,1.6733,7.2379,1.6733,7.6411,1.6733,9.9798,1.6733,11.0887,1.6733,12.8427,1.6733,10.8669,1.6733,8.9315,1.6733,10.3226,1.6733,7.5605,1.6733,8.3669,1.6733,7.7419,1.6733,10.1815,1.6733,10.8266,1.6733,7.9032,1.6733,,1.6733,9.7782,1.6733,9.4556,1.6733,7.8629,1.6733,7.7621,1.6733,7.4395,1.6733,7.2379,1.6733,9.0323,1.6733,6.5927,1.6733,7.621,1.6733,6.4516,1.6733,8.2863,1.6733,7.8629,1.6733,10.3226,1.6733,7.9839,1.6733,8.2863,1.6733,7.2177,1.6733,10.0202,1.6733,7.0161,1.6733,10.7863,1.6733,10.2621,1.6733,7.2984,1.6733,6.3911,1.6733,8.0444,1.6733,7.7016,1.6733,11.1694,1.6733,10.6048,1.6733,8.4879,1.6733,8.0242
1.6767,8.7298,1.6767,9.9395,1.6767,9.1935,1.6767,8.629,1.6767,7.6008,1.6767,7.1371,1.6767,7.7218,1.6767,9.5565,1.6767,7.5,1.6767,6.5927,1.6767,8.4476,1.6767,7.4395,1.6767,10.9476,1.6767,7.4395,1.6767,11.5726,1.6767,,1.6767,9.7581,1.6767,7.3185,1.6767,9.5565,1.6767,7.3589,1.6767,7.3185,1.6767,9.7581,1.6767,11.2097,1.6767,12.5403,1.6767,10.8871,1.6767,8.8508,1.6767,10.4435,1.6767,7.8629,1.6767,8.4476,1.6767,7.4395,1.6767,9.7379,1.6767,10.0806,1.6767,7.9234,1.6767,,1.6767,9.8589,1.6767,9.5968,1.6767,7.8226,1.6767,7.8831,1.6767,7.4194,1.6767,7.2177,1.6767,8.7097,1.6767,7.1976,1.6767,7.6613,1.6767,6.371,1.6767,8.0444,1.6767,8.004,1.6767,10.1008,1.6767,8.2661,1.6767,8.0847,1.6767,6.875,1.6767,10.4234,1.6767,6.7339,1.6767,10.5645,1.6767,10.3629,1.6767,7.2379,1.6767,6.6532,1.6767,8.1048,1.6767,7.8226,1.6767,11.0282,1.6767,9.879,1.6767,8.5081,1.6767,7.9032
1.68,8.6089,1.68,10.0403,1.68,8.8911,1.68,8.7702,1.68,7.6411,1.68,7.3387,1.68,7.8629,1.68,9.0927,1.68,7.5,1.68,6.6331,1.68,8.125,1.68,7.5202,1.68,10.4032,1.68,7.2581,1.68,11.7944,1.68,8.1855,1.68,9.6976,1.68,7.3185,1.68,8.2258,1.68,7.5403,1.68,7.0363,1.68,9.7177,1.68,11.0484,1.68,12.5806,1.68,10.746,1.68,8.9113,1.68,10.2218,1.68,7.621,1.68,8.2056,1.68,7.2581,1.68,8.7702,1.68,8.8911,1.68,7.6613,1.68,,1.68,10.0605,1.68,9.5363,1.68,7.8831,1.68,7.8629,1.68,7.3185,1.68,7.0766,1.68,8.5685,1.68,7.5,1.68,7.5202,1.68,6.371,1.68,8.2863,1.68,7.8427,1.68,10.121,1.68,8.0444,1.68,7.9234,1.68,7.0968,1.68,10.1613,1.68,7.2177,1.68,10.7661,1.68,10.3024,1.68,7.1169,1.68,6.6734,1.68,7.9637,1.68,7.5202,1.68,11.2298,1.68,8.8911,1.68,8.5484,1.68,7.9839
