x,y
0.0167,0.0605
0.0333,0.1411
0.05,0.2016
0.0667,0.2621
0.0833,0.3226
0.1,0.4032
0.1167,0.4637
0.1333,0.5242
0.15,0.6048
0.1667,0.6653
0.1833,0.7258
0.2,0.8065
0.2167,0.8669
0.2333,0.9274
0.25,0.9879
0.2667,1.0685
0.2833,1.129
0.3,1.1895
0.3167,1.2702
0.3333,1.3306
0.35,1.3911
0.3667,1.4718
0.3833,1.5323
0.4,1.5927
0.4167,1.6532
0.4333,1.7339
0.45,1.7944
0.4667,1.8548
0.4833,1.9355
0.5,1.996
0.5167,2.0565
0.5333,2.1371
0.55,2.1976
0.5667,2.2581
0.5833,2.3185
0.6,2.3992
0.6167,2.4597
0.6333,2.5202
0.65,2.6008
0.6667,2.6613
0.6833,2.7218
0.7,2.8024
0.7167,2.8629
0.7333,2.9234
0.75,2.9839
0.7667,3.0645
0.7833,3.125
0.8,3.1855
0.8167,3.2661
0.8333,3.3266
0.85,3.3871
0.8667,3.4677
0.8833,3.5282
0.9,3.5887
0.9167,3.6492
0.9333,3.7298
0.95,3.7903
0.9667,3.8508
0.9833,3.9315
1.0,3.9919
1.0167,4.0524
1.0333,4.1331
1.05,4.1935
1.0667,4.254
1.0833,4.3145
1.1,4.3952
1.1167,4.4556
1.1333,4.5161
1.15,4.5968
1.1667,4.6573
1.1833,4.7177
1.2,4.7984
1.2167,4.8589
1.2333,4.9194
1.25,5.0
1.2667,5.0605
1.2833,5.121
1.3,5.1815
1.3167,5.2621
1.3333,5.3226
1.35,5.3831
1.3667,5.4637
1.3833,5.5242
1.4,5.5847
1.4167,5.6653
1.4333,5.7258
1.45,5.7863
1.4667,5.8669
1.4833,5.9274
1.5,5.9879
1.5167,6.0484
1.5333,6.129
1.55,6.1895
1.5667,6.25
1.5833,6.3306
1.6,6.3911
1.6167,6.4516
1.6333,6.5323
1.65,6.5927
1.6667,6.6532
1.6833,6.7339
1.7,6.7944
1.7167,6.8548
1.7333,6.9153
1.75,6.996
1.7667,7.0565
1.7833,7.1169
1.8,7.1976
1.8167,7.2581
1.8333,7.3185
1.85,7.3992
1.8667,7.4597
1.8833,7.5202
1.9,7.6008
1.9167,7.6613
1.9333,7.7218
1.95,7.7823
1.9667,7.8629
1.9833,7.9234
2.0,7.9839
2.0167,8.0645
2.0333,8.125
2.05,8.1855
2.0667,8.2661
2.0833,8.3266
2.1,8.3871
2.1167,8.4677
2.1333,8.5282
2.15,8.5887
2.1667,8.6694
2.1833,8.7298
2.2,8.7903
2.2167,8.871
2.2333,8.9315
