x1_PDPW102_right,y1_PDPW102_right,x2_PDPW102_right,y2_PDPW102_right,x1_PDPW112_left,y1_PDPW112_left,x2_PDPW112_left,y2_PDPW112_left,x1_PDQE102_right,y1_PDQE102_right,x2_PDQE102_right,y2_PDQE102_right,x1_PDPW106_right,y1_PDPW106_right,x2_PDPW106_right,y2_PDPW106_right,x1_PDQE107_left,y1_PDQE107_left,x2_PDQE107_left,y2_PDQE107_left,x1_PDQE105_right,y1_PDQE105_right,x2_PDQE105_right,y2_PDQE105_right,x1_PDPW110_right,y1_PDPW110_right,x2_PDPW110_right,y2_PDPW110_right,x1_PDPY101_right,y1_PDPY101_right,x2_PDPY101_right,y2_PDPY101_right,x1_PDQE112_left,y1_PDQE112_left,x2_PDQE112_left,y2_PDQE112_left,x1_PDQE104_left,y1_PDQE104_left,x2_PDQE104_left,y2_PDQE104_left,x1_PDQE113_right,y1_PDQE113_right,x2_PDQE113_right,y2_PDQE113_right,x1_PDQE108_right,y1_PDQE108_right,x2_PDQE108_right,y2_PDQE108_right,x1_PDQE115_right,y1_PDQE115_right,x2_PDQE115_right,y2_PDQE115_right,x1_PDPW111_left,y1_PDPW111_left,x2_PDPW111_left,y2_PDPW111_left,x1_PDPW107_left,y1_PDPW107_left,x2_PDPW107_left,y2_PDPW107_left
0.0367,-0.3024,0.0367,-1.1089,0.0367,1.5524,0.0367,-1.5524,0.0367,0.5847,0.0367,0.9677,0.0367,1.0081,0.0367,-0.0202,0.0367,1.4718,0.0367,2.0363,0.0367,-2.2177,0.0367,1.0685,0.0367,0.8793,0.0367,-0.4878,0.0367,0.1008,0.0367,0.3999,0.0367,-1.1089,0.0367,-0.8669,0.0367,1.0887,0.0367,1.0685,0.0367,1.3306,0.0367,-1.371,0.0367,1.7944,0.0367,1.3105,0.0367,0.4032,0.0367,-1.1492,0.0367,1.3105,0.0367,1.4919,0.0367,1.1895,0.0367,1.5927
0.04,-0.3226,0.04,-1.0484,0.04,1.5524,0.04,-1.3508,0.04,0.6855,0.04,0.7258,0.04,0.9274,0.04,0.0,0.04,1.4516,0.04,1.875,0.04,-2.2984,0.04,0.5645,0.04,0.8886,0.04,-0.4623,0.04,0.3024,0.04,0.3612,0.04,-1.2903,0.04,-0.8468,0.04,1.2903,0.04,0.8669,0.04,1.6532,0.04,-1.2298,0.04,1.8145,0.04,1.371,0.04,0.3226,0.04,-1.0282,0.04,1.3911,0.04,1.371,0.04,1.1492,0.04,1.5927
0.0433,-0.4032,0.0433,-0.9879,0.0433,1.5726,0.0433,-1.129,0.0433,0.2621,0.0433,1.0282,0.0433,0.9476,0.0433,0.0,0.0433,1.371,0.0433,1.5524,0.0433,-2.0968,0.0433,0.6452,0.0433,0.8979,0.0433,-0.4367,0.0433,0.1411,0.0433,0.3226,0.0433,-1.2097,0.0433,-0.625,0.0433,1.4718,0.0433,0.7863,0.0433,1.5524,0.0433,-1.1492,0.0433,2.1774,0.0433,1.2298,0.0433,0.5242,0.0433,-0.9476,0.0433,1.2903,0.0433,1.4919,0.0433,1.0685,0.0433,1.5121
0.0467,-0.0806,0.0467,-1.0282,0.0467,1.5726,0.0467,-1.1694,0.0467,0.3427,0.0467,0.9073,0.0467,0.9274,0.0467,-0.0202,0.0467,1.4113,0.0467,1.8952,0.0467,-2.1774,0.0467,0.6653,0.0467,0.9072,0.0467,-0.4111,0.0467,0.3629,0.0467,0.6048,0.0467,-1.3508,0.0467,-0.9879,0.0467,1.1492,0.0467,0.9073,0.0467,1.5323,0.0467,-1.4113,0.0467,2.2581,0.0467,1.2702,0.0467,0.4234,0.0467,-0.5847,0.0467,1.3911,0.0467,1.5121,0.0467,1.1089,0.0467,1.4718
0.05,-0.2218,0.05,-0.9073,0.05,1.5726,0.05,-1.3306,0.05,0.5444,0.05,0.3024,0.05,1.0282,0.05,-0.121,0.05,1.4516,0.05,1.6935,0.05,-2.4194,0.05,0.4839,0.05,0.9165,0.05,-0.3856,0.05,0.4637,0.05,0.5444,0.05,-1.2097,0.05,-0.7056,0.05,1.1694,0.05,0.9476,0.05,1.4718,0.05,-1.1694,0.05,2.3185,0.05,1.1895,0.05,0.5645,0.05,-0.1411,0.05,1.3105,0.05,1.5121,0.05,0.9879,0.05,1.5524
0.0533,-0.3226,0.0533,-1.0081,0.0533,1.6129,0.0533,-1.371,0.0533,0.2621,0.0533,0.6653,0.0533,0.9879,0.0533,-0.0806,0.0533,1.4315,0.0533,1.5524,0.0533,-2.3992,0.0533,0.4839,0.0533,0.9257,0.0533,-0.36,0.0533,0.7056,0.0533,0.4435,0.0533,-1.1895,0.0533,-0.8065,0.0533,1.0887,0.0533,1.1089,0.0533,1.5121,0.0533,-1.6331,0.0533,2.4395,0.0533,1.4315,0.0533,0.5847,0.0533,-0.504,0.0533,1.3508,0.0533,1.4919,0.0533,1.1089,0.0533,1.5524
0.0567,-0.2621,0.0567,-1.3105,0.0567,1.5524,0.0567,-1.371,0.0567,0.3427,0.0567,0.3629,0.0567,1.0282,0.0567,-0.0403,0.0567,1.4516,0.0567,1.5927,0.0567,-2.0968,0.0567,0.5444,0.0567,0.935,0.0567,-0.3345,0.0567,0.8266,0.0567,0.5444,0.0567,-1.2702,0.0567,-0.5242,0.0567,1.4718,0.0567,0.8065,0.0567,1.4516,0.0567,-2.3185,0.0567,2.4357,0.0567,1.2702,0.0567,0.3629,0.0567,0.0605,0.0567,1.3306,0.0567,1.4113,0.0567,1.1089,0.0567,1.7137
0.06,-0.1411,0.06,-1.1492,0.06,1.4516,0.06,-1.25,0.06,0.2621,0.06,0.7056,0.06,1.1895,0.06,-0.0403,0.06,1.6532,0.06,1.7339,0.06,-2.5202,0.06,0.6048,0.06,0.9443,0.06,-0.3089,0.06,1.129,0.06,-0.1008,0.06,-1.3508,0.06,-0.6653,0.06,1.1492,0.06,1.0484,0.06,1.6532,0.06,-2.5605,0.06,2.4318,0.06,1.3508,0.06,0.504,0.06,-0.0605,0.06,1.4113,0.06,1.3911,0.06,1.2097,0.06,1.3911
0.0633,-0.3629,0.0633,-1.0282,0.0633,1.4718,0.0633,-1.1694,0.0633,0.1613,0.0633,0.8468,0.0633,1.0081,0.0633,-0.0605,0.0633,1.5524,0.0633,1.8347,0.0633,-2.5806,0.0633,0.6048,0.0633,0.9536,0.0633,-0.2833,0.0633,1.4516,0.0633,0.6452,0.0633,-1.4516,0.0633,-0.5444,0.0633,1.1895,0.0633,0.9476,0.0633,1.5524,0.0633,-2.3185,0.0633,2.4279,0.0633,1.3105,0.0633,0.4234,0.0633,-0.0202,0.0633,1.3105,0.0633,1.5121,0.0633,1.1694,0.0633,1.6331
0.0667,-0.2823,0.0667,-1.0282,0.0667,1.3306,0.0667,-1.3508,0.0667,0.4637,0.0667,0.7661,0.0667,1.0484,0.0667,-0.121,0.0667,1.3508,0.0667,1.7339,0.0667,-2.621,0.0667,0.6452,0.0667,0.9629,0.0667,-0.2578,0.0667,1.2298,0.0667,0.3831,0.0667,-1.4516,0.0667,-0.7056,0.0667,1.0685,0.0667,0.8468,0.0667,1.5726,0.0667,-2.3185,0.0667,2.4241,0.0667,1.1895,0.0667,0.2621,0.0667,-0.0605,0.0667,1.3306,0.0667,1.4113,0.0667,1.1492,0.0667,1.6129
