x1_PDPW102_right,y1_PDPW102_right,x2_PDPW102_right,y2_PDPW102_right,x1_PDPW112_left,y1_PDPW112_left,x2_PDPW112_left,y2_PDPW112_left,x1_PDQE102_right,y1_PDQE102_right,x2_PDQE102_right,y2_PDQE102_right,x1_PDPW106_right,y1_PDPW106_right,x2_PDPW106_right,y2_PDPW106_right,x1_PDQE107_left,y1_PDQE107_left,x2_PDQE107_left,y2_PDQE107_left,x1_PDQE105_right,y1_PDQE105_right,x2_PDQE105_right,y2_PDQE105_right,x1_PDPW110_right,y1_PDPW110_right,x2_PDPW110_right,y2_PDPW110_right,x1_PDPY101_right,y1_PDPY101_right,x2_PDPY101_right,y2_PDPY101_right,x1_PDQE112_left,y1_PDQE112_left,x2_PDQE112_left,y2_PDQE112_left,x1_PDQE104_left,y1_PDQE104_left,x2_PDQE104_left,y2_PDQE104_left,x1_PDQE113_right,y1_PDQE113_right,x2_PDQE113_right,y2_PDQE113_right,x1_PDQE108_right,y1_PDQE108_right,x2_PDQE108_right,y2_PDQE108_right,x1_PDQE115_right,y1_PDQE115_right,x2_PDQE115_right,y2_PDQE115_right,x1_PDPW111_left,y1_PDPW111_left,x2_PDPW111_left,y2_PDPW111_left,x1_PDPW107_left,y1_PDPW107_left,x2_PDPW107_left,y2_PDPW107_left
0.0367,-1.6331,0.0367,3.1048,0.0367,0.8669,0.0367,0.5444,0.0367,0.4032,0.0367,1.6331,0.0367,-0.504,0.0367,-0.7661,0.0367,2.0766,0.0367,-4.4556,0.0367,-0.8871,0.0367,-0.3427,0.0367,0.2218,0.0367,0.9073,0.0367,0.0605,0.0367,0.4234,0.0367,0.2419,0.0367,1.4718,0.0367,-1.0685,0.0367,-0.9073,0.0367,0.1008,0.0367,-1.3306,0.0367,3.629,0.0367,1.9556,0.0367,0.4637,0.0367,-1.4919,0.0367,-1.0887,0.0367,7.621,0.0367,0.504,0.0367,0.7661
0.04,-1.6734,0.04,3.2661,0.04,0.8669,0.04,0.4637,0.04,0.504,0.04,1.9153,0.04,-0.5645,0.04,-0.7863,0.04,1.8548,0.04,-4.4355,0.04,-0.8266,0.04,-0.4839,0.04,0.3226,0.04,0.7863,0.04,0.0,0.04,0.4234,0.04,0.3427,0.04,1.5121,0.04,-0.9274,0.04,-0.9476,0.04,0.4234,0.04,-1.4113,0.04,3.6694,0.04,1.875,0.04,0.504,0.04,-1.2903,0.04,-1.1089,0.04,7.6613,0.04,0.3831,0.04,0.8468
0.0433,-1.8347,0.0433,3.1855,0.0433,0.7056,0.0433,0.5242,0.0433,0.121,0.0433,1.8145,0.0433,-0.5645,0.0433,-0.8266,0.0433,1.875,0.0433,-4.5968,0.0433,-1.1895,0.0433,-0.3226,0.0433,0.2419,0.0433,0.8266,0.0433,0.3831,0.0433,0.3226,0.0433,0.2419,0.0433,1.5323,0.0433,-0.8871,0.0433,-0.9476,0.0433,0.0403,0.0433,-1.4919,0.0433,3.7903,0.0433,1.7742,0.0433,0.3226,0.0433,-1.2903,0.0433,-1.1492,0.0433,7.8024,0.0433,0.625,0.0433,1.0081
0.0467,-1.4113,0.0467,3.2661,0.0467,0.9073,0.0467,0.4234,0.0467,0.4032,0.0467,2.0565,0.0467,-0.625,0.0467,-0.7661,0.0467,1.875,0.0467,-4.7177,0.0467,-0.8065,0.0467,-0.5645,0.0467,0.3629,0.0467,1.2298,0.0467,0.4234,0.0467,0.3629,0.0467,0.2419,0.0467,1.4718,0.0467,-1.0887,0.0467,-0.9274,0.0467,0.0605,0.0467,-1.5323,0.0467,4.0524,0.0467,1.6331,0.0467,0.3831,0.0467,-1.7137,0.0467,-1.2702,0.0467,7.6815,0.0467,0.3831,0.0467,0.9677
0.05,-1.754,0.05,3.2863,0.05,0.8468,0.05,0.3831,0.05,0.7661,0.05,2.2581,0.05,-0.4839,0.05,-0.7863,0.05,1.9153,0.05,-4.6976,0.05,-0.8065,0.05,-0.5242,0.05,0.3629,0.05,1.3911,0.05,0.3226,0.05,0.6653,0.05,0.0605,0.05,1.6532,0.05,-0.8669,0.05,-0.8468,0.05,0.3427,0.05,-1.5121,0.05,3.6089,0.05,1.7137,0.05,0.625,0.05,-1.5121,0.05,-1.0685,0.05,7.7319,0.05,0.4032,0.05,0.8468
0.0533,-1.4516,0.0533,3.3871,0.0533,0.7863,0.0533,0.4435,0.0533,0.5444,0.0533,1.9355,0.0533,-0.6452,0.0533,-0.8468,0.0533,2.0363,0.0533,-4.4153,0.0533,-0.8669,0.0533,-0.3831,0.0533,0.1411,0.0533,1.2298,0.0533,0.3226,0.0533,0.4234,0.0533,0.1613,0.0533,1.2903,0.0533,-1.0282,0.0533,-0.9073,0.0533,0.2016,0.0533,-1.2298,0.0533,3.8105,0.0533,1.7742,0.0533,0.4435,0.0533,-1.5121,0.0533,-1.1492,0.0533,7.7823,0.0533,0.6653,0.0533,0.8871
0.0567,-1.7944,0.0567,3.2056,0.0567,0.8871,0.0567,0.3226,0.0567,0.5242,0.0567,1.9355,0.0567,-0.6855,0.0567,-0.8065,0.0567,1.996,0.0567,-4.6774,0.0567,-0.9274,0.0567,-0.3629,0.0567,0.4839,0.0567,0.9677,0.0567,0.1411,0.0567,0.5242,0.0567,0.2419,0.0567,1.5121,0.0567,-1.129,0.0567,-0.8871,0.0567,0.3226,0.0567,-1.4315,0.0567,3.8105,0.0567,1.8347,0.0567,0.1815,0.0567,-1.6129,0.0567,-1.2097,0.0567,7.8327,0.0567,0.5242,0.0567,0.8468
0.06,-1.7742,0.06,3.4476,0.06,0.8871,0.06,0.3427,0.06,0.2218,0.06,2.379,0.06,-0.6048,0.06,-0.7661,0.06,1.9153,0.06,-4.6774,0.06,-0.8065,0.06,-0.4234,0.06,0.4234,0.06,0.7258,0.06,0.0403,0.06,0.4839,0.06,0.3427,0.06,1.129,0.06,-1.1089,0.06,-0.8065,0.06,0.2621,0.06,-1.371,0.06,3.7298,0.06,1.8952,0.06,0.504,0.06,-1.7137,0.06,-1.0685,0.06,7.8831,0.06,0.504,0.06,0.9677
0.0633,-1.4516,0.0633,3.5282,0.0633,0.8871,0.0633,0.2218,0.0633,0.5645,0.0633,1.7944,0.0633,-0.6452,0.0633,-0.8065,0.0633,1.8347,0.0633,-4.5161,0.0633,-0.8669,0.0633,-0.2419,0.0633,0.4032,0.0633,1.8145,0.0633,0.0806,0.0633,0.2621,0.0633,0.2621,0.0633,1.5927,0.0633,-1.0887,0.0633,-1.1895,0.0633,0.1613,0.0633,-1.0081,0.0633,3.8105,0.0633,1.7137,0.0633,0.3831,0.0633,-1.0484,0.0633,-1.1089,0.0633,7.8399,0.0633,0.5847,0.0633,0.8065
0.0667,-1.7137,0.0667,3.5282,0.0667,0.9879,0.0667,0.3629,0.0667,0.1613,0.0667,1.7339,0.0667,-0.5645,0.0667,-0.8669,0.0667,2.0565,0.0667,-4.1734,0.0667,-0.8468,0.0667,-0.4234,0.0667,0.3226,0.0667,1.7137,0.0667,0.0,0.0667,0.4234,0.0667,0.1411,0.0667,1.5726,0.0667,-1.0685,0.0667,-0.8065,0.0667,0.504,0.0667,-1.2298,0.0667,3.871,0.0667,1.8347,0.0667,0.4839,0.0667,-1.3105,0.0667,-1.1492,0.0667,7.7967,0.0667,0.4032,0.0667,0.9677
