x,y
0.0167,0.0202
0.0333,0.0403
0.05,0.0403
0.0667,0.0605
0.0833,0.0806
0.1,0.1008
0.1167,0.121
0.1333,0.1411
0.15,0.1411
0.1667,0.1613
0.1833,0.1815
0.2,0.2016
0.2167,0.2218
0.2333,0.2419
0.25,0.2419
0.2667,0.2621
0.2833,0.2823
0.3,0.3024
0.3167,0.3226
0.3333,0.3226
0.35,0.3427
0.3667,0.3629
0.3833,0.3831
0.4,0.4032
0.4167,0.4234
0.4333,0.4234
0.45,0.4435
0.4667,0.4637
0.4833,0.4839
0.5,0.504
0.5167,0.5242
0.5333,0.5242
0.55,0.5444
0.5667,0.5645
0.5833,0.5847
0.6,0.6048
0.6167,0.625
0.6333,0.625
0.65,0.6452
0.6667,0.6653
0.6833,0.6855
0.7,0.7056
0.7167,0.7056
0.7333,0.7258
0.75,0.746
0.7667,0.7661
0.7833,0.7863
0.8,0.8065
0.8167,0.8065
0.8333,0.8266
0.85,0.8468
0.8667,0.8669
0.8833,0.8871
0.9,0.9073
0.9167,0.9073
0.9333,0.9274
0.95,0.9476
0.9667,0.9677
0.9833,0.9879
1.0,0.9879
1.0167,1.0081
1.0333,1.0282
1.05,1.0484
1.0667,1.0685
1.0833,1.0887
1.1,1.0887
1.1167,1.1089
1.1333,1.129
1.15,1.1492
1.1667,1.1694
1.1833,1.1895
1.2,1.1895
1.2167,1.2097
1.2333,1.2298
1.25,1.25
1.2667,1.2702
1.2833,1.2702
1.3,1.2903
1.3167,1.3105
1.3333,1.3306
1.35,1.3508
1.3667,1.371
1.3833,1.371
1.4,1.3911
1.4167,1.4113
1.4333,1.4315
1.45,1.4516
1.4667,1.4718
1.4833,1.4718
1.5,1.4919
1.5167,1.5121
1.5333,1.5323
1.55,1.5524
1.5667,1.5726
1.5833,1.5726
1.6,1.5927
1.6167,1.6129
1.6333,1.6331
1.65,1.6532
1.6667,1.6532
1.6833,1.6734
1.7,1.6935
1.7167,1.7137
1.7333,1.7339
1.75,1.754
1.7667,1.754
1.7833,1.7742
1.8,1.7944
1.8167,1.8145
1.8333,1.8347
1.85,1.8548
1.8667,1.8548
1.8833,1.875
1.9,1.8952
1.9167,1.9153
1.9333,1.9355
1.95,1.9355
1.9667,1.9556
1.9833,1.9758
2.0,1.996
2.0167,2.0161
2.0333,2.0363
2.05,2.0363
2.0667,2.0565
2.0833,2.0766
2.1,2.0968
2.1167,2.1169
2.1333,2.1371
2.15,2.1371
2.1667,2.1573
2.1833,2.1774
2.2,2.1976
2.2167,2.2177
2.2333,2.2379
2.25,2.2379
2.2667,2.2581
2.2833,2.2782
2.3,2.2984
2.3167,2.3185
2.3333,2.3185
2.35,2.3387
2.3667,2.3589
2.3833,2.379
2.4,2.3992
2.4167,2.4194
2.4333,2.4194
2.45,2.4395
2.4667,2.4597
2.4833,2.4798
2.5,2.5
2.5167,2.5202
2.5333,2.5202
2.55,2.5403
2.5667,2.5605
2.5833,2.5806
2.6,2.6008
2.6167,2.6008
2.6333,2.621
2.65,2.6411
2.6667,2.6613
2.6833,2.6815
2.7,2.7016
2.7167,2.7016
2.7333,2.7218
2.75,2.7419
2.7667,2.7621
2.7833,2.7823
2.8,2.8024
2.8167,2.8024
2.8333,2.8226
2.85,2.8427
2.8667,2.8629
2.8833,2.8831
2.9,2.9032
2.9167,2.9032
2.9333,2.9234
2.95,2.9435
2.9667,2.9637
2.9833,2.9839
3.0,2.9839
3.0167,3.004
3.0333,3.0242
3.05,3.0444
3.0667,3.0645
3.0833,3.0847
3.1,3.0847
3.1167,3.1048
3.1333,3.125
3.15,3.1452
3.1667,3.1653
3.1833,3.1855
3.2,3.1855
3.2167,3.2056
3.2333,3.2258
3.25,3.246
3.2667,3.2661
3.2833,3.2661
3.3,3.2863
3.3167,3.3065
3.3333,3.3266
3.35,3.3468
3.3667,3.3669
3.3833,3.3669
3.4,3.3871
3.4167,3.4073
3.4333,3.4274
3.45,3.4476
3.4667,3.4677
3.4833,3.4677
3.5,3.4879
3.5167,3.5081
3.5333,3.5282
3.55,3.5484
3.5667,3.5685
3.5833,3.5685
3.6,3.5887
3.6167,3.6089
3.6333,3.629
3.65,3.6492
3.6667,3.6492
3.6833,3.6694
3.7,3.6895
3.7167,3.7097
3.7333,3.7298
3.75,3.75
3.7667,3.75
3.7833,3.7702
3.8,3.7903
3.8167,3.8105
3.8333,3.8306
3.85,3.8508
3.8667,3.8508
3.8833,3.871
3.9,3.8911
3.9167,3.9113
3.9333,3.9315
3.95,3.9315
3.9667,3.9516
3.9833,3.9718
4.0,3.9919
4.0167,4.0121
4.0333,4.0323
4.05,4.0323
4.0667,4.0524
4.0833,4.0726
4.1,4.0927
4.1167,4.1129
4.1333,4.1331
4.15,4.1331
4.1667,4.1532
4.1833,4.1734
4.2,4.1935
4.2167,4.2137
4.2333,4.2339
4.25,4.2339
4.2667,4.254
4.2833,4.2742
4.3,4.2944
4.3167,4.3145
4.3333,4.3145
4.35,4.3347
4.3667,4.3548
4.3833,4.375
4.4,4.3952
4.4167,4.4153
4.4333,4.4153
4.45,4.4355
4.4667,4.4556
4.4833,4.4758
4.5,4.496
4.5167,4.5161
4.5333,4.5161
4.55,4.5363
4.5667,4.5565
4.5833,4.5766
4.6,4.5968
4.6167,4.6169
4.6333,4.6169
4.65,4.6371
4.6667,4.6573
4.6833,4.6774
4.7,4.6976
4.7167,4.6976
4.7333,4.7177
4.75,4.7379
4.7667,4.7581
4.7833,4.7782
4.8,4.7984
4.8167,4.7984
4.8333,4.8185
4.85,4.8387
4.8667,4.8589
4.8833,4.879
4.9,4.8992
4.9167,4.8992
4.9333,4.9194
4.95,4.9395
4.9667,4.9597
4.9833,4.9798
5.0,5.0
5.0167,5.0
5.0333,5.0202
5.05,5.0403
5.0667,5.0605
5.0833,5.0806
5.1,5.0806
5.1167,5.1008
5.1333,5.121
5.15,5.1411
5.1667,5.1613
5.1833,5.1815
5.2,5.1815
5.2167,5.2016
5.2333,5.2218
5.25,5.2419
5.2667,5.2621
5.2833,5.2823
5.3,5.2823
5.3167,5.3024
5.3333,5.3226
5.35,5.3427
5.3667,5.3629
5.3833,5.3831
5.4,5.3831
5.4167,5.4032
5.4333,5.4234
5.45,5.4435
5.4667,5.4637
5.4833,5.4637
5.5,5.4839
5.5167,5.504
5.5333,5.5242
5.55,5.5444
5.5667,5.5645
5.5833,5.5645
5.6,5.5847
5.6167,5.6048
5.6333,5.625
5.65,5.6452
5.6667,5.6653
5.6833,5.6653
5.7,5.6855
5.7167,5.7056
5.7333,5.7258
5.75,5.746
5.7667,5.7661
5.7833,5.7661
5.8,5.7863
5.8167,5.8065
5.8333,5.8266
5.85,5.8468
5.8667,5.8669
5.8833,5.8669
5.9,5.8871
5.9167,5.9073
5.9333,5.9274
5.95,5.9476
5.9667,5.9476
5.9833,5.9677
6.0,5.9879
6.0167,6.0081
6.0333,6.0282
6.05,6.0484
6.0667,6.0484
6.0833,6.0685
6.1,6.0887
6.1167,6.1089
6.1333,6.129
6.15,6.1492
6.1667,6.1492
6.1833,6.1694
6.2,6.1895
6.2167,6.2097
6.2333,6.2298
6.25,6.25
6.2667,6.25
6.2833,6.2702
6.3,6.2903
6.3167,6.3105
6.3333,6.3306
6.35,6.3306
6.3667,6.3508
6.3833,6.371
6.4,6.3911
6.4167,6.4113
6.4333,6.4315
6.45,6.4315
6.4667,6.4516
6.4833,6.4718
6.5,6.4919
6.5167,6.5121
6.5333,6.5323
6.55,6.5323
6.5667,6.5524
6.5833,6.5726
6.6,6.5927
6.6167,6.6129
6.6333,6.6331
6.65,6.6331
6.6667,6.6532
6.6833,6.6734
6.7,6.6935
6.7167,6.7137
6.7333,6.7339
6.75,6.7339
6.7667,6.754
6.7833,6.7742
6.8,6.7944
6.8167,6.8145
6.8333,6.8145
6.85,6.8347
6.8667,6.8548
6.8833,6.875
6.9,6.8952
6.9167,6.9153
6.9333,6.9153
6.95,6.9355
6.9667,6.9556
6.9833,6.9758
7.0,6.996
7.0167,7.0161
7.0333,7.0161
7.05,7.0363
7.0667,7.0565
7.0833,7.0766
7.1,7.0968
7.1167,7.1169
7.1333,7.1169
7.15,7.1371
7.1667,7.1573
7.1833,7.1774
7.2,7.1976
7.2167,7.2177
7.2333,7.2177
7.25,7.2379
7.2667,7.2581
7.2833,7.2782
7.3,7.2984
7.3167,7.2984
7.3333,7.3185
7.35,7.3387
7.3667,7.3589
7.3833,7.379
7.4,7.3992
7.4167,7.3992
7.4333,7.4194
7.45,7.4395
7.4667,7.4597
7.4833,7.4798
7.5,7.5
7.5167,7.5
7.5333,7.5202
7.55,7.5403
7.5667,7.5605
7.5833,7.5806
7.6,7.6008
7.6167,7.6008
7.6333,7.621
7.65,7.6411
7.6667,7.6613
7.6833,7.6815
7.7,7.7016
7.7167,7.7016
7.7333,7.7218
7.75,7.7419
7.7667,7.7621
7.7833,7.7823
7.8,7.7823
7.8167,7.8024
7.8333,7.8226
7.85,7.8427
7.8667,7.8629
7.8833,7.8831
7.9,7.8831
7.9167,7.9032
7.9333,7.9234
7.95,7.9435
7.9667,7.9637
7.9833,7.9839
8.0,7.9839
8.0167,8.004
8.0333,8.0242
8.05,8.0444
8.0667,8.0645
8.0833,8.0847
8.1,8.0847
8.1167,8.1048
8.1333,8.125
8.15,8.1452
8.1667,8.1653
8.1833,8.1855
8.2,8.1855
8.2167,8.2056
8.2333,8.2258
8.25,8.246
8.2667,8.2661
8.2833,8.2863
8.3,8.2863
8.3167,8.3065
8.3333,8.3266
8.35,8.3468
8.3667,8.3669
8.3833,8.3669
8.4,8.3871
8.4167,8.4073
8.4333,8.4274
8.45,8.4476
8.4667,8.4677
8.4833,8.4677
8.5,8.4879
8.5167,8.5081
8.5333,8.5282
8.55,8.5484
8.5667,8.5685
8.5833,8.5685
8.6,8.5887
8.6167,8.6089
8.6333,8.629
8.65,8.6492
8.6667,8.6694
8.6833,8.6694
8.7,8.6895
8.7167,8.7097
8.7333,8.7298
8.75,8.75
8.7667,8.7702
8.7833,8.7702
8.8,8.7903
8.8167,8.8105
8.8333,8.8306
8.85,8.8508
8.8667,8.871
8.8833,8.871
8.9,8.8911
8.9167,8.9113
8.9333,8.9315
8.95,8.9516
8.9667,8.9718
8.9833,8.9718
9.0,8.9919
9.0167,9.0121
9.0333,9.0323
9.05,9.0524
9.0667,9.0726
9.0833,9.0726
9.1,9.0927
9.1167,9.1129
9.1333,9.1331
9.15,9.1532
9.1667,9.1532
9.1833,9.1734
9.2,9.1935
9.2167,9.2137
9.2333,9.2339
9.25,9.254
9.2667,9.254
9.2833,9.2742
9.3,9.2944
9.3167,9.3145
9.3333,9.3347
9.35,9.3548
9.3667,9.3548
9.3833,9.375
9.4,9.3952
9.4167,9.4153
9.4333,9.4355
9.45,9.4556
9.4667,9.4556
9.4833,9.4758
9.5,9.496
9.5167,9.5161
9.5333,9.5363
9.55,9.5565
9.5667,9.5565
9.5833,9.5766
9.6,9.5968
9.6167,9.6169
9.6333,9.6371
9.65,9.6573
9.6667,9.6573
9.6833,9.6774
9.7,9.6976
9.7167,9.7177
9.7333,9.7379
9.75,9.7581
9.7667,9.7581
9.7833,9.7782
9.8,9.7984
9.8167,9.8185
9.8333,9.8387
9.85,9.8589
9.8667,9.8589
9.8833,9.879
9.9,9.8992
9.9167,9.9194
9.9333,9.9395
9.95,9.9597
9.9667,9.9597
