x,y
5.3667,-7.7823
5.3833,-7.7016
5.4,-7.6008
5.4167,-7.5
5.4333,-7.3992
5.45,-7.2984
5.4667,-7.1976
5.4833,-7.0968
5.5,-6.996
5.5167,-6.8952
5.5333,-6.7944
5.55,-6.6935
5.5667,-6.5927
5.5833,-6.4919
5.6,-6.3911
5.6167,-6.2903
5.6333,-6.1895
5.65,-6.0887
5.6667,-5.9879
5.6833,-5.8871
5.7,-5.7863
5.7167,-5.6855
5.7333,-5.5847
5.75,-5.4839
5.7667,-5.3831
5.7833,-5.2823
5.8,-5.1815
5.8167,-5.0806
5.8333,-5.0
5.85,-4.8992
5.8667,-4.7984
5.8833,-4.6976
5.9,-4.5968
5.9167,-4.496
5.9333,-4.3952
5.95,-4.2944
5.9667,-4.1935
5.9833,-4.0927
6.0,-3.9919
6.0167,-3.8911
6.0333,-3.7903
6.05,-3.6895
6.0667,-3.5887
6.0833,-3.4879
6.1,-3.3871
6.1167,-3.2863
6.1333,-3.1855
6.15,-3.0847
6.1667,-2.9839
6.1833,-2.9032
6.2,-2.8024
6.2167,-2.7016
6.2333,-2.6008
6.25,-2.5
6.2667,-2.3992
6.2833,-2.2984
6.3,-2.1976
6.3167,-2.0968
6.3333,-1.996
6.35,-1.8952
6.3667,-1.7944
6.3833,-1.6935
6.4,-1.5927
6.4167,-1.4919
6.4333,-1.3911
6.45,-1.2903
6.4667,-1.1895
6.4833,-1.0887
6.5,-0.9879
6.5167,-0.9073
6.5333,-0.8065
6.55,-0.7056
6.5667,-0.6048
6.5833,-0.504
6.6,-0.4032
6.6167,-0.3024
6.6333,-0.2016
6.65,-0.1008
6.6667,0.0
6.6833,0.1008
6.7,0.2016
6.7167,0.3024
6.7333,0.4032
6.75,0.504
6.7667,0.6048
6.7833,0.7056
6.8,0.8065
6.8167,0.9073
6.8333,0.9879
6.85,1.0887
6.8667,1.1895
6.8833,1.2903
6.9,1.3911
6.9167,1.4919
6.9333,1.5927
6.95,1.6935
6.9667,1.7944
6.9833,1.8952
7.0,1.996
7.0167,2.0968
7.0333,2.1976
7.05,2.2984
7.0667,2.3992
7.0833,2.5
7.1,2.6008
7.1167,2.7016
7.1333,2.8024
7.15,2.9032
7.1667,2.9839
7.1833,3.0847
7.2,3.1855
7.2167,3.2863
7.2333,3.3871
7.25,3.4879
7.2667,3.5887
7.2833,3.6895
7.3,3.7903
7.3167,3.8911
7.3333,3.9919
7.35,4.0927
7.3667,4.1935
7.3833,4.2944
7.4,4.3952
7.4167,4.496
7.4333,4.5968
7.45,4.6976
7.4667,4.7984
7.4833,4.8992
7.5,5.0
7.5167,5.0806
7.5333,5.1815
7.55,5.2823
7.5667,5.3831
7.5833,5.4839
7.6,5.5847
7.6167,5.6855
7.6333,5.7863
7.65,5.8871
7.6667,5.9879
7.6833,6.0887
7.7,6.1895
7.7167,6.2903
7.7333,6.3911
7.75,6.4919
7.7667,6.5927
7.7833,6.6935
7.8,6.7944
7.8167,6.8952
7.8333,6.996
7.85,7.0968
7.8667,7.1976
7.8833,7.2984
7.9,7.3992
7.9167,7.5
7.9333,7.6008
7.95,7.7016
7.9667,7.7823
7.9833,7.8831
8.0,7.9839
8.0167,8.0847
8.0333,8.1855
8.05,8.2863
8.0667,8.3871
8.0833,8.4879
8.1,8.5887
8.1167,8.6895
8.1333,8.7903
8.15,8.8911
8.1667,8.9919
8.1833,9.0927
8.2,9.1935
8.2167,9.2944
8.2333,9.3952
8.25,9.496
8.2667,9.5968
8.2833,9.6976
8.3,9.7984
8.3167,9.8992
8.3333,10.0
8.35,9.8992
8.3667,9.7984
8.3833,9.6976
8.4,9.5968
8.4167,9.496
8.4333,9.3952
8.45,9.2944
8.4667,9.1935
8.4833,9.0927
8.5,8.9919
8.5167,8.8911
8.5333,8.7903
8.55,8.6895
8.5667,8.5887
8.5833,8.4879
8.6,8.3871
8.6167,8.2863
8.6333,8.1855
8.65,8.0847
8.6667,7.9839
8.6833,7.8831
8.7,7.7823
8.7167,7.7016
8.7333,7.6008
8.75,7.5
8.7667,7.3992
8.7833,7.2984
8.8,7.1976
8.8167,7.0968
8.8333,6.996
8.85,6.8952
8.8667,6.7944
8.8833,6.6935
8.9,6.5927
8.9167,6.4919
8.9333,6.3911
8.95,6.2903
8.9667,6.1895
8.9833,6.0887
9.0,5.9879
9.0167,5.8871
9.0333,5.7863
9.05,5.6855
9.0667,5.5847
9.0833,5.4839
9.1,5.3831
9.1167,5.2823
9.1333,5.1815
9.15,5.0806
9.1667,5.0
9.1833,4.8992
9.2,4.7984
9.2167,4.6976
9.2333,4.5968
9.25,4.496
9.2667,4.3952
9.2833,4.2944
9.3,4.1935
9.3167,4.0927
9.3333,3.9919
9.35,3.8911
9.3667,3.7903
9.3833,3.6895
9.4,3.5887
9.4167,3.4879
9.4333,3.3871
9.45,3.2863
9.4667,3.1855
9.4833,3.0847
9.5,2.9839
9.5167,2.9032
9.5333,2.8024
9.55,2.7016
9.5667,2.6008
9.5833,2.5
9.6,2.3992
9.6167,2.2984
9.6333,2.1976
9.65,2.0968
9.6667,1.996
9.6833,1.8952
9.7,1.7944
9.7167,1.6935
9.7333,1.5927
9.75,1.4919
9.7667,1.3911
9.7833,1.2903
9.8,1.1895
9.8167,1.0887
9.8333,0.9879
9.85,0.9073
9.8667,0.8065
9.8833,0.7056
9.9,0.6048
9.9167,0.504
9.9333,0.4032
9.95,0.3024
9.9667,0.2016
9.9833,0.1008
10.0,0.0
10.0167,-0.1008
10.0333,-0.2016
10.05,-0.3024
10.0667,-0.4032
10.0833,-0.504
10.1,-0.6048
10.1167,-0.7056
10.1333,-0.8065
10.15,-0.9073
10.1667,-0.9879
10.1833,-1.0887
10.2,-1.1895
10.2167,-1.2903
10.2333,-1.3911
10.25,-1.4919
10.2667,-1.5927
10.2833,-1.6935
10.3,-1.7944
10.3167,-1.8952
10.3333,-1.996
10.35,-2.0968
10.3667,-2.1976
10.3833,-2.2984
10.4,-2.3992
10.4167,-2.5
10.4333,-2.6008
10.45,-2.7016
10.4667,-2.8024
10.4833,-2.9032
10.5,-2.9839
10.5167,-3.0847
10.5333,-3.1855
10.55,-3.2863
10.5667,-3.3871
10.5833,-3.4879
10.6,-3.5887
10.6167,-3.6895
10.6333,-3.7903
10.65,-3.8911
10.6667,-3.9919
10.6833,-4.0927
10.7,-4.1935
10.7167,-4.2944
10.7333,-4.3952
10.75,-4.496
10.7667,-4.5968
10.7833,-4.6976
10.8,-4.7984
10.8167,-4.8992
10.8333,-5.0
10.85,-5.0806
10.8667,-5.1815
10.8833,-5.2823
10.9,-5.3831
10.9167,-5.4839
10.9333,-5.5847
10.95,-5.6855
10.9667,-5.7863
10.9833,-5.8871
11.0,-5.9879
11.0167,-6.0887
11.0333,-6.1895
11.05,-6.2903
11.0667,-6.3911
11.0833,-6.4919
11.1,-6.5927
11.1167,-6.6935
11.1333,-6.7944
11.15,-6.8952
11.1667,-6.996
11.1833,-7.0968
11.2,-7.1976
11.2167,-7.2984
11.2333,-7.3992
11.25,-7.5
11.2667,-7.6008
11.2833,-7.7016
11.3,-7.7823
11.3167,-7.8831
11.3333,-7.9839
11.35,-8.0847
11.3667,-8.1855
11.3833,-8.2863
11.4,-8.3871
11.4167,-8.4879
11.4333,-8.5887
11.45,-8.6895
11.4667,-8.7903
11.4833,-8.8911
11.5,-8.9919
11.5167,-9.0927
11.5333,-9.1935
11.55,-9.2944
11.5667,-9.3952
11.5833,-9.496
11.6,-9.5968
11.6167,-9.6976
11.6333,-9.7984
11.65,-9.8992
11.6667,-10.0
11.6833,-9.8992
11.7,-9.7984
11.7167,-9.6976
11.7333,-9.5968
11.75,-9.496
11.7667,-9.3952
11.7833,-9.2944
11.8,-9.1935
11.8167,-9.0927
11.8333,-8.9919
11.85,-8.8911
11.8667,-8.7903
11.8833,-8.6895
11.9,-8.5887
11.9167,-8.4879
11.9333,-8.3871
11.95,-8.2863
11.9667,-8.1855
11.9833,-8.0847
12.0,-7.9839
12.0167,-7.8831
12.0333,-7.7823
12.05,-7.7016
12.0667,-7.6008
12.0833,-7.5
12.1,-7.3992
12.1167,-7.2984
12.1333,-7.1976
12.15,-7.0968
12.1667,-6.996
12.1833,-6.8952
12.2,-6.7944
12.2167,-6.6935
12.2333,-6.5927
12.25,-6.4919
12.2667,-6.3911
12.2833,-6.2903
12.3,-6.1895
12.3167,-6.0887
12.3333,-5.9879
12.35,-5.8871
12.3667,-5.7863
12.3833,-5.6855
12.4,-5.5847
12.4167,-5.4839
12.4333,-5.3831
12.45,-5.2823
12.4667,-5.1815
12.4833,-5.0806
12.5,-5.0
12.5167,-4.8992
12.5333,-4.7984
12.55,-4.6976
12.5667,-4.5968
12.5833,-4.496
12.6,-4.3952
12.6167,-4.2944
12.6333,-4.1935
12.65,-4.0927
12.6667,-3.9919
12.6833,-3.8911
12.7,-3.7903
12.7167,-3.6895
12.7333,-3.5887
12.75,-3.4879
12.7667,-3.3871
12.7833,-3.2863
12.8,-3.1855
12.8167,-3.0847
12.8333,-2.9839
12.85,-2.9032
12.8667,-2.8024
12.8833,-2.7016
12.9,-2.6008
12.9167,-2.5
12.9333,-2.3992
12.95,-2.2984
12.9667,-2.1976
12.9833,-2.0968
13.0,-1.996
13.0167,-1.8952
13.0333,-1.7944
13.05,-1.6935
13.0667,-1.5927
13.0833,-1.4919
13.1,-1.3911
13.1167,-1.2903
13.1333,-1.1895
13.15,-1.0887
13.1667,-0.9879
13.1833,-0.9073
13.2,-0.8065
13.2167,-0.7056
13.2333,-0.6048
13.25,-0.504
13.2667,-0.4032
13.2833,-0.3024
13.3,-0.2016
13.3167,-0.1008
13.3333,0.0
13.35,0.1008
13.3667,0.2016
13.3833,0.3024
13.4,0.4032
13.4167,0.504
13.4333,0.6048
13.45,0.7056
13.4667,0.8065
13.4833,0.9073
13.5,0.9879
13.5167,1.0887
13.5333,1.1895
13.55,1.2903
13.5667,1.3911
13.5833,1.4919
13.6,1.5927
13.6167,1.6935
13.6333,1.7944
13.65,1.8952
13.6667,1.996
13.6833,2.0968
13.7,2.1976
13.7167,2.2984
13.7333,2.3992
13.75,2.5
13.7667,2.6008
13.7833,2.7016
13.8,2.8024
13.8167,2.9032
13.8333,2.9839
13.85,3.0847
13.8667,3.1855
13.8833,3.2863
13.9,3.3871
13.9167,3.4879
13.9333,3.5887
13.95,3.6895
13.9667,3.7903
13.9833,3.8911
14.0,3.9919
14.0167,4.0927
14.0333,4.1935
14.05,4.2944
14.0667,4.3952
14.0833,4.496
14.1,4.5968
14.1167,4.6976
14.1333,4.7984
14.15,4.8992
14.1667,5.0
14.1833,5.0806
14.2,5.1815
14.2167,5.2823
14.2333,5.3831
14.25,5.4839
14.2667,5.5847
14.2833,5.6855
14.3,5.7863
14.3167,5.8871
14.3333,5.9879
14.35,6.0887
14.3667,6.1895
14.3833,6.2903
14.4,6.3911
14.4167,6.4919
14.4333,6.5927
14.45,6.6935
14.4667,6.7944
14.4833,6.8952
14.5,6.996
14.5167,7.0968
14.5333,7.1976
14.55,7.2984
14.5667,7.3992
14.5833,7.5
14.6,7.6008
14.6167,7.7016
14.6333,7.7823
14.65,7.8831
14.6667,7.9839
14.6833,8.0847
14.7,8.1855
14.7167,8.2863
14.7333,8.3871
14.75,8.4879
14.7667,8.5887
14.7833,8.6895
14.8,8.7903
14.8167,8.8911
14.8333,8.9919
14.85,9.0927
14.8667,9.1935
14.8833,9.2944
14.9,9.3952
14.9167,9.496
14.9333,9.5968
14.95,9.6976
14.9667,9.7984
14.9833,9.8992
15.0,10.0
15.0167,10.0
