1	967	540
2	973	540
3	980	540
4	986	540
5	993	540
6	1000	540
7	1006	540
8	1013	540
9	1019	540
10	1026	540
11	1033	540
12	1039	540
13	1046	540
14	1052	540
15	1059	540
16	1066	540
17	1072	540
18	1079	540
19	1085	540
20	1092	540
21	1099	540
22	1105	540
23	1112	540
24	1118	540
25	1125	540
26	1132	540
27	1138	540
28	1145	540
29	1151	540
30	1158	540
31	1165	540
32	1171	540
33	1178	540
34	1184	540
35	1191	540
36	1198	540
37	1204	540
38	1211	540
39	1217	540
40	1224	540
41	1231	540
42	1237	540
43	1244	540
44	1251	540
45	1257	540
46	1264	540
47	1270	540
48	1277	540
49	1284	540
50	1290	540
51	1297	540
52	1303	540
53	1310	540
54	1317	540
55	1323	540
56	1330	540
57	1337	540
58	1343	540
59	1350	540
60	1356	540
61	1363	540
62	1370	540
63	1376	540
64	1383	540
65	1390	540
66	1396	540
67	1403	540
68	1410	540
69	1416	540
70	1423	540
71	1429	540
72	1436	540
73	1443	540
74	1449	540
75	1456	540
76	1449	540
77	1443	540
78	1436	540
79	1429	540
80	1423	540
81	1416	540
82	1410	540
83	1403	540
84	1396	540
85	1390	540
86	1383	540
87	1376	540
88	1370	540
89	1363	540
90	1356	540
91	1350	540
92	1343	540
93	1337	540
94	1330	540
95	1323	540
96	1317	540
97	1310	540
98	1303	540
99	1297	540
100	1290	540
101	1284	540
102	1277	540
103	1270	540
104	1264	540
105	1257	540
106	1251	540
107	1244	540
108	1237	540
109	1231	540
110	1224	540
111	1217	540
112	1211	540
113	1204	540
114	1198	540
115	1191	540
116	1184	540
117	1178	540
118	1171	540
119	1165	540
120	1158	540
121	1151	540
122	1145	540
123	1138	540
124	1132	540
125	1125	540
126	1118	540
127	1112	540
128	1105	540
129	1099	540
130	1092	540
131	1085	540
132	1079	540
133	1072	540
134	1066	540
135	1059	540
136	1052	540
137	1046	540
138	1039	540
139	1033	540
140	1026	540
141	1019	540
142	1013	540
143	1006	540
144	1000	540
145	993	540
146	986	540
147	980	540
148	973	540
149	967	540
150	960	540
151	953	540
152	947	540
153	940	540
154	934	540
155	927	540
156	920	540
157	914	540
158	907	540
159	901	540
160	894	540
161	887	540
162	881	540
163	874	540
164	868	540
165	861	540
166	854	540
167	848	540
168	841	540
169	835	540
170	828	540
171	821	540
172	815	540
173	808	540
174	802	540
175	795	540
176	788	540
177	782	540
178	775	540
179	769	540
180	762	540
181	755	540
182	749	540
183	742	540
184	736	540
185	729	540
186	722	540
187	716	540
188	709	540
189	703	540
190	696	540
191	689	540
192	683	540
193	676	540
194	669	540
195	663	540
196	656	540
197	650	540
198	643	540
199	636	540
200	630	540
201	623	540
202	617	540
203	610	540
204	603	540
205	597	540
206	590	540
207	583	540
208	577	540
209	570	540
210	564	540
211	557	540
212	550	540
213	544	540
214	537	540
215	530	540
216	524	540
217	517	540
218	510	540
219	504	540
220	497	540
221	491	540
222	484	540
223	477	540
224	471	540
225	464	540
226	471	540
227	477	540
228	484	540
229	491	540
230	497	540
231	504	540
232	510	540
233	517	540
234	524	540
235	530	540
236	537	540
237	544	540
238	550	540
239	557	540
240	564	540
241	570	540
242	577	540
243	583	540
244	590	540
245	597	540
246	603	540
247	610	540
248	617	540
249	623	540
250	630	540
251	636	540
252	643	540
253	650	540
254	656	540
255	663	540
256	669	540
257	676	540
258	683	540
259	689	540
260	696	540
261	703	540
262	709	540
263	716	540
264	722	540
265	729	540
266	736	540
267	742	540
268	749	540
269	755	540
270	762	540
271	769	540
272	775	540
273	782	540
274	788	540
275	795	540
276	802	540
277	808	540
278	815	540
279	821	540
280	828	540
281	835	540
282	841	540
283	848	540
284	854	540
285	861	540
286	868	540
287	874	540
288	881	540
289	887	540
290	894	540
291	901	540
292	907	540
293	914	540
294	920	540
295	927	540
296	934	540
297	940	540
298	947	540
299	953	540
300	960	540
301	967	540
302	973	540
303	980	540
304	986	540
305	993	540
306	1000	540
307	1006	540
308	1013	540
309	1019	540
310	1026	540
311	1033	540
312	1039	540
313	1046	540
314	1052	540
315	1059	540
316	1066	540
317	1072	540
318	1079	540
319	1085	540
320	1092	540
321	1099	540
322	1105	540
323	1112	540
324	1118	540
325	1125	540
326	1132	540
327	1138	540
328	1145	540
329	1151	540
330	1158	540
331	1165	540
332	1171	540
333	1178	540
334	1184	540
335	1191	540
336	1198	540
337	1204	540
338	1211	540
339	1217	540
340	1224	540
341	1231	540
342	1237	540
343	1244	540
344	1251	540
345	1257	540
346	1264	540
347	1270	540
348	1277	540
349	1284	540
350	1290	540
351	1297	540
352	1303	540
353	1310	540
354	1317	540
355	1323	540
356	1330	540
357	1337	540
358	1343	540
359	1350	540
360	1356	540
361	1363	540
362	1370	540
363	1376	540
364	1383	540
365	1390	540
366	1396	540
367	1403	540
368	1410	540
369	1416	540
370	1423	540
371	1429	540
372	1436	540
373	1443	540
374	1449	540
375	1456	540
376	1449	540
377	1443	540
378	1436	540
379	1429	540
380	1423	540
381	1416	540
382	1410	540
383	1403	540
384	1396	540
385	1390	540
386	1383	540
387	1376	540
388	1370	540
389	1363	540
390	1356	540
391	1350	540
392	1343	540
393	1337	540
394	1330	540
395	1323	540
396	1317	540
397	1310	540
398	1303	540
399	1297	540
400	1290	540
401	1284	540
402	1277	540
403	1270	540
404	1264	540
405	1257	540
406	1251	540
407	1244	540
408	1237	540
409	1231	540
410	1224	540
411	1217	540
412	1211	540
413	1204	540
414	1198	540
415	1191	540
416	1184	540
417	1178	540
418	1171	540
419	1165	540
420	1158	540
421	1151	540
422	1145	540
423	1138	540
